query,query_type,drug,ground_truth_side_effects,num_side_effects,side_effect,ground_truth_drugs,num_drugs,organ_system
What are the side effects of ntbc?,reverse,ntbc,"['diarrhoea', 'gastroenteritis', 'blood and lymphatic system disorders', 'somnolence', 'gastrointestinal pain', 'dermatitis exfoliative', 'respiratory insufficiency', 'tooth discolouration', 'leukopenia', 'cyanosis', 'leukocytosis', 'tension', 'convulsion', 'agitation', 'eye pain', 'ear infection', 'alopecia', 'infection', 'dry skin', 'eye disorder', 'encephalopathy', 'dehydration', 'corneal opacity', 'melaena', 'agranulocytosis', 'amenorrhoea', 'septicemia', 'cataract', 'thrombocytopenia', 'skin disorder', 'headache', 'photophobia', 'unspecified disorder of skin and subcutaneous tissue', 'haemoglobin', 'thirst', 'rash maculo-papular', 'nervousness', 'bronchitis', 'haemorrhage', 'brain neoplasm', 'hepatic neoplasm', 'porphyrin metabolism disorder', 'hepatic function abnormal', 'sepsis', 'conjunctivitis', 'neoplasm malignant', 'gastrointestinal haemorrhage', 'abdominal pain', 'respiratory failure', 'blepharitis', 'hypoglycaemia', 'pruritus', 'enanthema', 'hepatic failure', 'hyperkinesia', 'rash erythematous', 'liver nodule', 'hepatomegaly', 'keratitis', 'otitis', 'epistaxis', 'gastritis']",62.0,,,,
List all side effects of silver,reverse,silver,"['hepatitis', 'skin discolouration', 'dermatitis exfoliative', 'nephrotic syndrome', 'leukopenia', 'blood disorder', 'gastrointestinal disorder', 'bacterial colonisation', 'dermatitis', 'rash', 'reaction gastrointestinal', 'erythema multiforme', 'skin exfoliation', 'agranulocytosis', 'separation', 'thrombocytopenia', 'haemolytic anaemia', 'partner stress', 'hepatic necrosis', 'tubulointerstitial nephritis', 'sepsis', 'bacterial disease carrier', 'burning sensation', 'aplastic anaemia', 'nephrosis', 'hypersensitivity', 'skin necrosis', 'stevens-johnson syndrome', 'nephritis interstitial', 'muscle contracture']",30.0,,,,
What are the side effects of sulindac?,reverse,sulindac,"['hypersensitive syndrome', 'protein urine present', 'somnolence', 'hyperglycaemia', 'gastrointestinal pain', 'myalgia', 'peptic ulcer', 'dermatitis', 'paraesthesia', 'syncope', 'colitis', 'arthralgia', 'renal failure', 'gastrointestinal perforation', 'palpitations', 'hyperhidrosis', 'chills', 'decreased appetite', 'photosensitivity reaction', 'headache', 'calculus of kidney', 'vaginal haemorrhage', 'neuropathy peripheral', 'disseminated intravascular coagulation', 'proteinuria', 'purpura', 'renal impairment', 'gastrointestinal haemorrhage', 'anorexia', 'pruritus', 'meningitis aseptic', 'vertigo', 'tinnitus', 'visual impairment', 'hypertension', 'oedema', 'shock', 'stevens-johnson syndrome', 'nephritis interstitial', 'epistaxis', 'anaemia', 'gastritis', 'diarrhoea', 'dysgeusia', 'pancreatitis', 'anaphylactic shock', 'discomfort', 'leukocytosis', 'vision blurred', 'coma', 'jaundice', 'pancytopenia', 'cholecystitis', 'bone marrow depression', 'alopecia', 'biliary sludge', 'depression', 'ecchymosis', 'taste bitter', 'allergic cutaneous angiitis', 'leukocytoclastic vasculitis', 'arthritis', 'haematuria', 'musculoskeletal discomfort', 'bronchospasm', 'flatulence', 'hypotension', 'gynaecomastia', 'cholelithiasis', 'constipation', 'stupor', 'arrhythmia', 'fatigue', 'hepatic failure', 'crystalluria', 'flushing', 'sweating increased', 'hypersensitivity', 'necrotising fasciitis', 'dysuria', 'ill-defined disorder', 'vomiting', 'hepatitis', 'body temperature increased', 'pneumonia', 'neuritis', 'nephrotic syndrome', 'asthenia', 'drug reaction with eosinophilia and systemic symptoms', 'prothrombin level increased', 'nausea', 'convulsion', 'dyspepsia', 'erythema multiforme', 'fatal outcomes', 'angioedema', 'loss of consciousness', 'nephrolithiasis', 'haemolytic anaemia', 'dyspnoea', 'dizziness', 'vascular purpura', 'tubulointerstitial nephritis', 'urticaria', 'nervousness', 'hearing impaired', 'conjunctivitis', 'cellulitis gangrenous', 'aplastic anaemia', 'glossitis', 'insomnia', 'sweating', 'tachycardia', 'neutropenia', 'adenitis', 'gastroenteritis', 'pleural effusion', 'ageusia', 'lymphadenitis', 'dermatitis exfoliative', 'cardiac failure congestive', 'leukopenia', 'cholestasis', 'tension', 'feeling abnormal', 'muscular weakness', 'rash', 'acute psychosis', 'chest pain', 'gastrointestinal cramps', 'tenderness', 'nephritic syndrome', 'agranulocytosis', 'eosinophilia', 'thrombocytopenia', 'stomatitis', 'malaise', 'depressed level of consciousness', 'urine color abnormal', 'photosensitivity', 'chromaturia', 'partial hearing loss', 'toxic epidermal necrolysis', 'hyperkalaemia', 'visual disturbance', 'urine output']",146.0,,,,
What adverse events does n-acetylcysteine cause?,reverse,n-acetylcysteine,"['vomiting', 'somnolence', 'body temperature increased', 'haemoptysis', 'tachycardia', 'anaphylactic shock', 'asthma', 'feeling hot', 'cardiac disorder', 'mediastinal disorder', 'erythema facial', 'gastrointestinal disorder', 'cough', 'nausea', 'dermatitis', 'cold sweat', 'rhinorrhoea', 'palmar erythema', 'wheezing', 'rash', 'pharyngitis', 'chest discomfort', 'sticky skin', 'dyspepsia', 'eye pain', 'syncope', 'immune system disorder', 'angioedema', 'loss of consciousness', 'chest tightness', 'hyperhidrosis', 'drowsiness', 'anaphylactoid reaction', 'erythema', 'dyspnoea', 'ear pain', 'dizziness', 'bronchospasm', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'dysphoria', 'hypotension', 'stomatitis', 'angiopathy', 'thinking abnormal', 'urticaria', 'mental disability', 'gastrointestinal symptom nos', 'respiratory distress', 'ear and labyrinth disorders', 'sensitisation', 'pruritus', 'nasopharyngitis', 'flushing', 'bronchoconstriction', 'gait disturbance', 'rhonchi', 'face oedema', 'hypersensitivity', 'stridor', 'oedema', 'shock', 'throat tightness', 'sweating']",64.0,,,,
What adverse events does thyroxine cause?,reverse,thyroxine,"['diarrhoea', 'confusional state', 'vomiting', 'body temperature increased', 'tachycardia', 'gastrointestinal pain', 'abdominal cramps', 'cardiac failure congestive', 'tremor', 'asthenia', 'menstruation irregular', 'slipped femoral capital epiphysis', 'tension', 'nausea', 'cerebral artery embolism', 'anxiety', 'feeling abnormal', 'coma', 'dermatitis', 'gagging', 'rash', 'convulsion', 'wheezing', 'muscular weakness', 'agitation', 'choking', 'alopecia', 'cardiac arrest', 'angioedema', 'arthralgia', 'dehydration', 'craniosynostosis', 'palpitations', 'hyperhidrosis', 'mood swings', 'affect lability', 'musculoskeletal discomfort', 'dyspnoea', 'headache', 'dysphagia', 'heat intolerance', 'temperature intolerance', 'disorientation', 'benign intracranial hypertension', 'angina pectoris', ""basedow's disease"", 'urticaria', 'epiphysiolysis', 'arrhythmia', 'irritability', 'nervousness', 'weight decreased', 'increased appetite', 'fatigue', 'abdominal pain', 'hyperkinesia', 'hypoglycaemia', 'pruritus', 'cardiac failure', 'flushing', 'acute coronary syndrome', 'sweating increased', 'fluid loss', 'myocardial infarction', 'insomnia', 'serum sickness', 'hyperthyroidism', 'infertility', 'shock', 'retching', 'sweating']",71.0,,,,
Show me side effects associated with atracurium,reverse,atracurium,"['azotaemia', 'nervous system disorder', 'brain injury', 'anaphylactic shock', 'brain oedema', 'trauma', 'mediastinal disorder', 'dermatitis', 'muscular weakness', 'convulsion', 'wheezing', 'rash', 'connective tissue disorder', 'laryngospasm', 'uremia', 'immune system disorder', 'cardiac arrest', 'edema cerebral', 'injury', 'anaphylactoid reaction', 'hypoxic-ischaemic encephalopathy', 'erythema', 'bronchospasm', 'dyspnoea', 'skin disorder', 'bradycardia', 'myopathy', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'angiopathy', 'urticaria', 'encephalitis viral', 'pruritus', 'flushing', 'hypersensitivity', 'tachycardia', 'mean arterial pressure']",37.0,,,,
What are the side effects of epinephrine?,reverse,epinephrine,"['somnolence', 'ventricular arrhythmia', 'hyperglycaemia', 'gastrointestinal disorder', 'rales', 'psychotic disorder', 'hypokalaemia', 'agitation', 'gas gangrene', 'paraesthesia', 'skin exfoliation', 'renal failure', 'contusion', 'palpitations', 'hyperhidrosis', 'cerebral haemorrhage', 'necrosis', 'feeling cold', 'renal impairment', 'hypertension', 'skin necrosis', 'excitability', 'blanching of skin', 'lightheadedness', 'hypertensive', 'cerebrovascular accident', 'hallucination', 'skin disorder', 'mydriasis', 'unspecified disorder of skin and subcutaneous tissue', 'haemoglobin', 'myocardial ischaemia', 'memory impairment', 'arrhythmia', 'extravasation', 'blood pressure increased', 'supraventricular tachycardia', 'injection site pallor', 'nephropathy', 'flushing', 'acute coronary syndrome', 'sweating increased', 'redness of face', 'tingling sensation', 'vomiting', 'ischaemia', 'central nervous system haemorrhage', 'nausea', 'coldness', 'tachyarrhythmia', 'hemiplegia', 'dizziness', 'ventricular extrasystoles', 'subarachnoid haemorrhage', 'nervousness', 'lactic acidosis', 'haemorrhage', 'ventricular fibrillation', 'hypoglycaemia', 'myocardial infarction', 'insomnia', 'pallor', 'tachycardia', 'peripheral coldness', 'sweating', 'mental disorder', 'nervous system disorder', 'tension', 'local reaction', 'hypoaesthesia', 'chest pain', 'drowsiness', 'erythema', 'disorientation', 'pulmonary oedema', 'piloerection', 'drug interaction', 'injection site injury', 'skeletal injury', 'panic reaction']",80.0,,,,
What are the side effects of perampanel?,reverse,perampanel,"['confusional state', 'mental disorder', 'somnolence', 'nervous system disorder', 'myalgia', 'balance disorder', 'mediastinal disorder', 'asthenia', 'gastrointestinal disorder', 'limb injury', 'cough', 'diplopia', 'vision blurred', 'nausea', 'euphoric mood', 'anxiety', 'feeling abnormal', 'connective tissue disorder', 'skin laceration', 'paraesthesia', 'infection', 'aggression', 'hypoaesthesia', 'oedema peripheral', 'eye disorder', 'arthralgia', 'weight increased', 'contusion', 'mood swings', 'dysarthria', 'affect lability', 'decreased appetite', 'musculoskeletal discomfort', 'headache', 'dizziness', 'coordination abnormal', 'oropharyngeal pain', 'head injury', 'memory impairment', 'pain in extremity', 'constipation', 'hypersomnia', 'irritability', 'increased appetite', 'fatigue', 'back pain', 'anger', 'ear and labyrinth disorders', 'osteoarthritis', 'gait disturbance', 'laceration', 'vertigo', 'suicidal behaviour', 'infestation nos', 'infestation', 'hyponatraemia', 'ataxia', 'musculoskeletal pain', 'malnutrition', 'vomiting', 'upper respiratory tract infection']",61.0,,,,
List all side effects of flunitrazepam,reverse,flunitrazepam,"['slurred speech', 'confusional state', 'somnolence', 'tachycardia', 'balance disorder', 'discomfort', 'tremor', 'hiccups', 'asthenia', 'sleep disturbance', 'unsteadiness', 'diplopia', 'ill-defined disorder', 'dermatitis', 'anxiety', 'feeling abnormal', 'psychotic disorder', 'dry mouth', 'rash', 'agitation', 'muscular weakness', 'amnesia', 'aggression', 'angioedema', 'hallucination', 'hyperhidrosis', 'drowsiness', 'nightmare', 'dysarthria', 'headache', 'dizziness', 'orthostatic hypotension', 'disorientation', 'hypotension', 'malaise', 'emotional distress', 'irritability', 'fatigue', 'delusion', 'sleep disorder', 'ataxia', 'hangover', 'sweating']",43.0,,,,
What adverse events does acetazolamide cause?,reverse,acetazolamide,"['diarrhoea', 'injection site pain', 'confusional state', 'tingling of extremity', 'vomiting', 'somnolence', 'body temperature increased', 'anaphylactic shock', 'myopia', 'leukopenia', 'blood disorder', 'jaundice cholestatic', 'asthenia', 'discomfort', 'gastrointestinal disorder', 'ill-defined disorder', 'glycosuria', 'nausea', 'feeling abnormal', 'hypokalaemia', 'convulsion', 'agitation', 'paraesthesia', 'dyspepsia', 'erythema multiforme', 'reaction gastrointestinal', 'hypoaesthesia', 'excitement', 'numbness', 'sensory loss', 'polyuria', 'metabolic acidosis', 'melaena', 'osteomalacia', 'agranulocytosis', 'drowsiness', 'growth retardation', 'anaphylactoid reaction', 'haematuria', 'thrombocytopenia', 'decreased appetite', 'paralysis flaccid', 'headache', 'dizziness', 'hepatic necrosis', 'photosensitivity reaction', 'myopia transient', 'malaise', 'thrombocytopenic purpura', 'urticaria', 'irritability', 'appetite absent', 'hepatic function abnormal', 'fatigue', 'hepatic failure', 'urine output increased', 'hypoglycaemia', 'digestion impaired', 'photosensitivity', 'aplastic anaemia', 'flushing', 'electrolyte imbalance', 'toxic epidermal necrolysis', 'hepatobiliary disease', 'tingling sensation', 'tinnitus', 'hepatic insufficiency', 'hyponatraemia', 'ataxia', 'polydipsia', 'shock', 'stevens-johnson syndrome', 'thirst', 'dysgeusia']",74.0,,,,
Show me side effects associated with atovaquone,reverse,atovaquone,"['diarrhoea', 'creatinine increased', 'hepatitis', 'vomiting', 'blood and lymphatic system disorders', 'body temperature increased', 'neutropenia', 'pain', 'pancreatitis', 'hyperglycaemia', 'gastrointestinal pain', 'myalgia', 'sinusitis', 'leukopenia', 'asthenia', 'gastrointestinal disorder', 'cough', 'laboratory test abnormal', 'nausea', 'anxiety', 'dermatitis', 'rash', 'phosphatase alkaline increased', 'anaemia', 'dyspepsia', 'aspartate aminotransferase increased', 'erythema multiforme', 'infection', 'immune system disorder', 'angioedema', 'blood creatinine increased', 'eye disorder', 'skin exfoliation', 'renal failure', 'keratopathy', 'hyperhidrosis', 'thrombocytopenia', 'decreased appetite', 'urethral disorder', 'musculoskeletal discomfort', 'bronchospasm', 'dyspnoea', 'dizziness', 'headache', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'urinary tract disorder', 'urticaria', 'constipation', 'blood alkaline phosphatase increased', 'amylase increased', 'renal impairment', 'hepatic failure', 'rhinitis', 'abdominal pain', 'anorexia', 'methaemoglobinaemia', 'hypoglycaemia', 'pruritus', 'alanine aminotransferase increased', 'throat tightness', 'cough increased', 'hyperkalaemia', 'hypersensitivity', 'hepatobiliary disease', 'insomnia', 'hyponatraemia', 'stevens-johnson syndrome', 'sweating', 'dysgeusia', 'influenza']",72.0,,,,
Show me side effects associated with nabumetone,reverse,nabumetone,"['somnolence', 'hyperglycaemia', 'gastrointestinal pain', 'peptic ulcer', 'duodenitis', 'tremor', 'cough', 'dermatitis', 'hypokalaemia', 'agitation', 'raised liver function tests', 'paraesthesia', 'hyperuricaemia', 'syncope', 'thrombophlebitis', 'albuminuria', 'renal failure', 'melaena', 'weight increased', 'palpitations', 'hyperhidrosis', 'chills', 'decreased appetite', 'photosensitivity reaction', 'headache', 'dysphagia', 'calculus of kidney', 'interstitial pneumonia', 'liver function test abnormal', 'vaginal haemorrhage', 'weight decreased', 'gastrointestinal haemorrhage', 'anorexia', 'pruritus', 'vertigo', 'tinnitus', 'visual impairment', 'hypertension', 'oedema', 'shock', 'stevens-johnson syndrome', 'nephritis interstitial', 'anaemia', 'azotaemia', 'gastritis', 'diarrhoea', 'congenital anomaly', 'pancreatitis', 'anaphylactic shock', 'bullous eruption', 'discomfort', 'anxiety', 'jaundice', 'alopecia', 'depression', 'anaphylactoid reaction', 'haematuria', 'flatulence', 'angina pectoris', 'haemoglobin', 'constipation', 'arrhythmia', 'fatigue', 'hepatic failure', 'acute coronary syndrome', 'sweating increased', 'hypersensitivity', 'faecal occult blood positive', 'dysuria', 'ill-defined disorder', 'vomiting', 'body temperature increased', 'pneumonia', 'asthma', 'nephrotic syndrome', 'asthenia', 'rectal haemorrhage', 'nausea', 'pseudoporphyria', 'blood uric acid increased', 'dry mouth', 'dyspepsia', 'erythema multiforme', 'angioedema', 'loss of consciousness', 'duodenal ulcer', 'nightmare', 'nephrolithiasis', 'dyspnoea', 'dizziness', 'tubulointerstitial nephritis', 'urticaria', 'acne', 'nervousness', 'haemorrhage', 'increased appetite', 'alveolitis allergic', 'abdominal pain', 'aplastic anaemia', 'developmental delay', 'glossitis', 'myocardial infarction', 'insomnia', 'confusional state', 'gastroenteritis', 'abnormal vision', 'leukopenia', 'jaundice cholestatic', 'interstitial lung disease', 'tension', 'feeling abnormal', 'vasculitis', 'rash', 'eosinophilic pneumonia', 'occult blood positive', 'taste disorders', 'nephritic syndrome', 'agranulocytosis', 'thrombocytopenia', 'erectile dysfunction', 'stomatitis', 'malaise', 'gingivitis', 'eructation', 'photosensitivity', 'toxic epidermal necrolysis', 'gastric ulcer', 'dermatitis bullous']",128.0,,,,
List all side effects of liraglutide,reverse,liraglutide,"['diarrhoea', 'injection site dermatitis', 'vomiting', 'pancreatitis', 'nervous system disorder', 'pancreatitis acute', 'anaphylactic shock', 'gastrointestinal pain', 'carcinoma', 'cardiac disorder', 'discomfort', 'asthenia', 'abdominal discomfort', 'gastrointestinal disorder', 'gastrooesophageal reflux disease', 'nausea', 'injection site reaction', 'dermatitis', 'feeling abnormal', 'rash', 'abdominal distension', 'dyspepsia', 'infection', 'immune system disorder', 'angioedema', 'toothache', 'pancreatitis necrotising', 'intestinal obstruction', 'renal failure acute', 'dehydration', 'blood creatinine increased', 'renal failure', 'palpitations', 'decreased appetite', 'erythema', 'urethral disorder', 'dyspnoea', 'flatulence', 'dizziness', 'headache', 'serum creatinine increased', 'hypotension', 'malaise', 'urinary tract disorder', 'urticaria', 'constipation', 'abdominal pain upper', 'bronchitis', 'papillary thyroid cancer', 'fatigue', 'renal impairment', 'renal failure chronic', 'neoplasm malignant', 'abdominal pain', 'anorexia', 'hypoglycaemia', 'nasopharyngitis', 'pruritus', 'hypersensitivity', 'upper respiratory tract infection', 'infestation nos', 'infestation', 'oedema', 'malnutrition', 'ill-defined disorder', 'tachycardia', 'gastritis']",67.0,,,,
Show me side effects associated with prednicarbate,reverse,prednicarbate,"['pain', 'leukoderma', 'allergic contact dermatitis', 'dermatitis', 'rash', 'atrophy', 'secondary infection', 'hypertrichosis', 'paraesthesia', 'folliculitis', 'infection', 'eruption', 'urticaria', 'dermatitis irritant contact', 'dermatitis perioral', 'miliaria', 'dermatitis contact', 'skin striae', 'pruritus', 'acneiform eruption', 'skin atrophy', 'telangiectasia', 'dermatitis acneiform', 'oedema']",24.0,,,,
What adverse events does betaine cause?,reverse,betaine,"['diarrhoea', 'mental disorder', 'nervous system disorder', 'hypermethioninaemia', 'brain oedema', 'sleep disturbance', 'abdominal discomfort', 'gastrointestinal disorder', 'distress gastrointestinal', 'nausea', 'agitation', 'bad taste', 'dysgeusia', 'homocystinuria', 'alopecia', 'personality disorder', 'urinary incontinence', 'edema cerebral', 'skin odour abnormal', 'decreased appetite', 'urethral disorder', 'skin disorder', 'headache', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract disorder', 'urticaria', 'aspiration', 'irritability', 'anorexia', 'glossitis', 'upset stomach', 'sleep disorder', 'malnutrition', 'vomiting', 'tooth disorder']",35.0,,,,
List all side effects of clonidine,reverse,clonidine,"['enuresis', 'withdrawal syndrome', 'somnolence', 'lacrimation decreased', 'gastrointestinal pain', 'malaise and fatigue', 'tremor', 'gastrointestinal disorder', 'cough', 'dermatitis', 'agitation', 'colonic pseudo-obstruction', 'paraesthesia', 'blanching', 'syncope', 'lower respiratory tract infection', 'arthralgia', 'weight increased', 'palpitations', 'hyperhidrosis', 'hallucinations, mixed', 'decreased appetite', 'liver function test abnormal', 'headache', 'angiopathy', 'pain in extremity', 'rash maculo-papular', 'irritability', 'sensitisation', 'ileus', 'anorexia', 'delusional perception', 'pruritus', 'electrocardiogram qt prolonged', 'sinus bradycardia', 'oropharyngeal discomfort', 'tinnitus', 'nasal congestion', 'rash macular', 'coombs test positive', 'oedema', 'shock', 'epistaxis', 'thirst', 'upper respiratory tract infection', 'diarrhoea', 'pain', 'instillation site pain', 'viral diarrhoea', 'paresthesia of limbs', 'discomfort', 'catheter related infection', 'mediastinal disorder', 'sleep disturbance', 'skin hyperpigmentation', 'vision blurred', 'anxiety', 'rhinorrhoea', 'cerebrovascular accident', 'breast enlargement', 'influenza like illness', 'alopecia', 'depression', 'dry throat', 'hallucination', 'parotitis', 'nasal dryness', 'papule', 'nodal arrhythmia', 'musculoskeletal discomfort', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'gynaecomastia', 'pollakiuria', 'application site pain', 'constipation', 'arrhythmia', 'intractable pain', 'delirium', 'fatigue', 'libido decreased', 'abnormal dreams', 'rhinitis', 'respiratory failure', 'crying', 'application site erythema', 'hypersensitivity', 'tearfulness', 'dysuria', 'nocturia', 'ill-defined disorder', 'vomiting', 'hyperaesthesia', 'device related infection', 'hepatitis', 'disturbance in sexual arousal', 'body temperature increased', 'lethargy', 'throat sore', 'rash generalised', 'asthma', 'localised numbness', 'cardiac disorder', 'asthenia', 'cramp muscle', 'muscle spasms', 'salivary gland pain', 'nausea', 'dry mouth', 'formication', 'emotional disorder', 'vivid dreams', 'strangury', 'aggression', 'accommodation disorder', 'application site discolouration', 'angioedema', 'loss of consciousness', 'eye disorder', 'application site rash', 'nightmare', 'loss of libido', 'dyspnoea', 'withdrawal hypertension', 'dizziness', 'blood glucose increased', 'oropharyngeal pain', 'skin ulcer', 'urticaria', 'application site erosion', 'cramps of lower extremities', 'nervousness', 'dry eye', 'breast disorder', 'dermatitis contact', 'abdominal pain', 'dental caries', 'insomnia', 'application site papules', 'atrioventricular block', 'sleep disorder', 'pallor', 'sweating', 'tachycardia', 'rebound hypertension', 'confusional state', 'mental disorder', 'bradyphrenia', 'nervous system disorder', 'sneezing', 'cardiac failure congestive', 'bradyarrhythmia', 'junctional bradycardia', 'urinary retention', 'tension', 'feeling abnormal', 'rash', 'infection', 'sick sinus syndrome', 'hypoaesthesia', 'chest pain', 'drowsiness', 'hypoxia', 'thrombocytopenia', 'erythema', 'meningitis', 'ear pain', 'bradycardia', 'orthostatic hypotension', 'urinary tract infection', 'erectile dysfunction', 'sexual dysfunction', 'malaise', 'otitis media acute', 'generalized macular rash', 'abnormal sleep-related event', 'abdominal pain upper', 'excoriation', 'hypoventilation', 'nasopharyngitis', 'sleep terror', 'auditory and visual hallucinations', 'application site burn', 'electrocardiogram abnormal', 'endocrine disorder']",186.0,,,,
What adverse events does gemeprost cause?,reverse,gemeprost,"['diarrhoea', 'body temperature increased', 'tachycardia', 'anaphylactic shock', 'nausea', 'muscular weakness', 'dysmenorrhoea', 'chest pain', 'abdominal pain lower', 'palpitations', 'chills', 'dyspnoea', 'headache', 'arteriospasm coronary', 'dizziness', 'surgery', 'hypotension', 'surgical intervention', 'vaginal haemorrhage', 'back pain', 'flushing', 'acute coronary syndrome', 'myocardial infarction', 'loose stools', 'uterine pain', 'vomiting']",26.0,,,,
What adverse events does degarelix cause?,reverse,degarelix,"['hyperglycaemia', 'gastrointestinal pain', 'abdominal discomfort', 'gastrointestinal disorder', 'dermatitis', 'phosphatase alkaline increased', 'electrocardiogram u wave present', 'hot flush', 'arthralgia', 'renal failure', 'weight increased', 'palpitations', 'hyperhidrosis', 'stiffness', 'micturition urgency', 'chills', 'decreased appetite', 'headache', 'induration', 'angiopathy', 'electrocardiogram change', 'genital discomfort', 'febrile neutropenia', 'weight decreased', 'renal impairment', 'pruritus', 'bone density decreased', 'hypertension', 'anaemia', 'diarrhoea', 'pain', 'anaphylactic shock', 'joint swelling', 'discomfort', 'testicular pain', 'mediastinal disorder', 'menopausal symptoms', 'vision blurred', 'mental retardation', 'influenza like illness', 'alopecia', 'immune system disorder', 'electrocardiogram u-wave abnormality', 'diabetes mellitus', 'depression', 'skin mass', 'pelvic pain', 'musculoskeletal discomfort', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'mental disability', 'gynaecomastia', 'pollakiuria', 'constipation', 'blood alkaline phosphatase increased', 'arrhythmia', 'fatigue', 'libido decreased', 'acute coronary syndrome', 'hypersensitivity', 'dysuria', 'nocturia', 'ill-defined disorder', 'vomiting', 'disturbance in sexual arousal', 'body temperature increased', 'administration site infection', 'bone disorder', 'cardiac disorder', 'asthenia', 'ejaculation failure', 'muscle spasms', 'nausea', 'injection site reaction', 'dry mouth', 'eye disorder', 'atrial fibrillation', 'breast pain', 'urethral disorder', 'blood bilirubin increased', 'dyspnoea', 'dizziness', 'inflammation', 'urticaria', 'breast disorder', 'abdominal pain', 'cardiac failure', 'hepatobiliary disease', 'myocardial infarction', 'insomnia', 'genital irritation', 'malnutrition', 'musculoskeletal stiffness', 'mental disorder', 'blood and lymphatic system disorders', 'nervous system disorder', 'abscess', 'feeling abnormal', 'muscular weakness', 'rash', 'incontinence', 'night sweats', 'swelling', 'hypoaesthesia', 'osteopenia', 'oedema peripheral', 'skin nodule', 'erythema', 'urinary tract infection', 'erectile dysfunction', 'malaise', 'urinary tract disorder', 'transaminases increased', 'back pain', 'testicular atrophy', 'musculoskeletal pain', 'osteoporosis', 'nodule']",119.0,,,,
What adverse events does carboplatin cause?,reverse,carboplatin,"['gastrointestinal pain', 'myalgia', 'abdominal discomfort', 'haemolytic uraemic syndrome', 'diuresis', 'dermatitis', 'hypokalaemia', 'phosphatase alkaline increased', 'perioral tingling', 'paraesthesia', 'neurological symptom', 'mucosal inflammation', 'cardiac arrest', 'arthralgia', 'chills', 'decreased appetite', 'liver function test abnormal', 'blindness cortical', 'tendon reflex decreased', 'serum creatinine increased', 'necrosis', 'angiopathy', 'gastrointestinal tract irritation', 'febrile neutropenia', 'neuropathy peripheral', 'renal impairment', 'neoplasm malignant', 'anorexia', 'pruritus', 'hypocalcaemia', 'blindness', 'tinnitus', 'visual impairment', 'hypertension', 'dysgeusia', 'anaemia', 'diarrhoea', 'pain', 'anaphylactic shock', 'discomfort', 'leukaemia', 'hypomagnesaemia', 'vision blurred', 'palmar erythema', 'pancytopenia', 'bone marrow depression', 'cerebrovascular accident', 'redness', 'influenza like illness', 'paraesthesia oral', 'gastrointestinal toxicity', 'alopecia', 'blood creatinine increased', 'polyuria', 'anaphylactoid reaction', 'influenza-like symptoms', 'musculoskeletal discomfort', 'bronchospasm', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'angina pectoris', 'haemoglobin', 'myocardial ischaemia', 'constipation', 'blood alkaline phosphatase increased', 'extravasation', 'fatigue', 'myelosuppression', 'kidney function abnormal', 'creatinine low', 'unspecified visual loss', 'acute coronary syndrome', 'hypersensitivity', 'neurotoxicity', 'hyponatraemia', 'blood urea increased', 'ill-defined disorder', 'blood creatinine decreased', 'vomiting', 'renal function test abnormal', 'body temperature increased', 'cardiac disorder', 'asthenia', 'nausea', 'injection site reaction', 'wheezing', 'aspartate aminotransferase increased', 'eye disorder', 'dehydration', 'embolism', 'hepatotoxicity', 'blood bilirubin increased', 'dyspnoea', 'nephropathy toxic', 'urticaria', 'haemorrhage', 'hearing impaired', 'myelodysplastic syndrome', 'hyporeflexia', 'abdominal pain', 'peripheral sensory neuropathy', 'cardiac failure', 'rash erythematous', 'ototoxicity', 'myocardial infarction', 'nausea alone', 'malnutrition', 'tachycardia', 'neutropenia', 'dermatitis exfoliative', 'leukopenia', 'feeling abnormal', 'rash', 'connective tissue disorder', 'nephrotoxicity', 'deafness', 'infection', 'swelling', 'rigors', 'renal failure acute', 'thrombocytopenia', 'erythema', 'ischaemic coronary artery disorders', 'stomatitis', 'malaise', 'drug interaction', 'visual disturbance']",128.0,,,,
