query,query_type,drug,severity_filter,organ_filter,ground_truth,num_results
List moderate adverse events of tamsulosin affecting the cardiovascular system,combination,tamsulosin,moderate,cardiovascular,"['hypotension orthostatic symptomatic', 'cardiac disorder', 'hypotension', 'hypertension', 'orthostatic hypotension', 'palpitations', 'arrhythmia']",7
List moderate adverse events of tamsulosin affecting the musculoskeletal system,combination,tamsulosin,moderate,musculoskeletal,"['myalgia', 'arthralgia']",2
Show gastrointestinal toxicities of tamsulosin with mild severity,combination,tamsulosin,mild,gastrointestinal,"['nausea', 'constipation']",2
List moderate adverse events of gd-eob-dtpa affecting the gastrointestinal system,combination,gd-eob-dtpa,moderate,gastrointestinal,"['vomiting', 'gastrointestinal disorder', 'abdominal pain', 'gastrointestinal pain']",4
What moderate ocular side effects does gd-eob-dtpa cause?,combination,gd-eob-dtpa,moderate,ocular,['conjunctivitis'],1
Show respiratory toxicities of gd-eob-dtpa with moderate severity,combination,gd-eob-dtpa,moderate,respiratory,"['cough', 'respiratory distress']",2
List mild adverse events of gd-eob-dtpa affecting the gastrointestinal system,combination,gd-eob-dtpa,mild,gastrointestinal,['nausea'],1
What severe cardiovascular side effects does isoproterenol cause?,combination,isoproterenol,severe,cardiovascular,['cardiac arrest'],1
What moderate cardiovascular side effects does isoproterenol cause?,combination,isoproterenol,moderate,cardiovascular,"['tachyarrhythmia', 'hypotension', 'ventricular arrhythmia', 'angina pectoris', 'hypertension', 'palpitations', 'arrhythmia']",7
List moderate adverse events of isoproterenol affecting the respiratory system,combination,isoproterenol,moderate,respiratory,"['bronchospasm', 'pulmonary oedema']",2
Show neurological toxicities of isoproterenol with moderate severity,combination,isoproterenol,moderate,neurological,"['vertigo', 'tremor']",2
Show neurological toxicities of isoproterenol with mild severity,combination,isoproterenol,mild,neurological,"['dizziness', 'headache']",2
What severe cardiovascular side effects does nilotinib cause?,combination,nilotinib,severe,cardiovascular,['myocardial infarction'],1
Show gastrointestinal toxicities of nilotinib with moderate severity,combination,nilotinib,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'enterocolitis', 'abdominal pain upper', 'gastritis', 'gastrointestinal ulcer perforation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain', 'gastrointestinal haemorrhage', 'gastric ulcer']",13
Show dermatological toxicities of nilotinib with moderate severity,combination,nilotinib,moderate,dermatological,"['skin ulcer', 'skin hypertrophy', 'photosensitivity reaction', 'dry skin', 'dermatitis', 'eczema', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'skin atrophy', 'dermatitis bullous', 'skin discolouration', 'skin hyperpigmentation', 'skin exfoliation', 'skin disorder', 'photosensitivity', 'skin papilloma', 'pain of skin', 'alopecia', 'psoriasis']",19
List moderate adverse events of nilotinib affecting the cardiovascular system,combination,nilotinib,moderate,cardiovascular,"['cardiac disorder', 'hypotension', 'arrhythmia', 'non-cardiac chest pain', 'angina pectoris', 'cardiac murmur', 'hypertension', 'pulmonary hypertension', 'palpitations', 'cardiac flutter', 'cardiac failure', 'thrombosis']",12
Show gastrointestinal toxicities of nilotinib with mild severity,combination,nilotinib,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild dermatological side effects does nilotinib cause?,combination,nilotinib,mild,dermatological,"['eye pruritus', 'pruritus', 'exfoliative rash', 'rash']",4
What moderate gastrointestinal side effects does fotemustine cause?,combination,fotemustine,moderate,gastrointestinal,"['vomiting', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain', 'gastrointestinal toxicity']",5
What moderate hepatobiliary side effects does fotemustine cause?,combination,fotemustine,moderate,hepatobiliary,"['hepatitis', 'hepatobiliary disease']",2
What moderate hematological side effects does fotemustine cause?,combination,fotemustine,moderate,hematological,"['thrombocytopenia', 'pancytopenia', 'leukopenia']",3
What mild gastrointestinal side effects does fotemustine cause?,combination,fotemustine,mild,gastrointestinal,['nausea'],1
Show cardiovascular toxicities of donepezil with severe severity,combination,donepezil,severe,cardiovascular,['myocardial infarction'],1
List moderate adverse events of donepezil affecting the gastrointestinal system,combination,donepezil,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal bloating', 'abdominal discomfort', 'epigastric distress', 'functional gastrointestinal disorder', 'abdominal pain upper', 'epigastric pain', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain', 'gastrointestinal haemorrhage', 'gastric ulcer']",15
List moderate adverse events of donepezil affecting the dermatological system,combination,donepezil,moderate,dermatological,"['dermatitis', 'fungal skin infection', 'eczema', 'urticaria', 'skin ulcer', 'skin discolouration', 'dermatitis bullous', 'alopecia', 'dry skin', 'skin laceration', 'neurodermatitis', 'skin striae', 'psoriasis']",13
What moderate cardiovascular side effects does donepezil cause?,combination,donepezil,moderate,cardiovascular,"['hypotension', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'cardiac failure congestive', 'cardiac failure', 'arrhythmia', 'block heart', 'deep vein thrombosis']",9
Show gastrointestinal toxicities of donepezil with mild severity,combination,donepezil,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of donepezil with mild severity,combination,donepezil,mild,dermatological,"['rash pustular', 'pruritus', 'vesiculobullous rash', 'rash']",4
Show gastrointestinal toxicities of atorvastatin with moderate severity,combination,atorvastatin,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'colitis', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain', 'gastric ulcer']",9
Show dermatological toxicities of atorvastatin with moderate severity,combination,atorvastatin,moderate,dermatological,"['dermatitis', 'eczema', 'urticaria', 'skin ulcer', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'dermatitis contact', 'alopecia', 'dry skin', 'seborrhoeic dermatitis', 'photosensitivity reaction']",11
What moderate immunological side effects does atorvastatin cause?,combination,atorvastatin,moderate,immunological,['hypersensitivity'],1
List mild adverse events of atorvastatin affecting the gastrointestinal system,combination,atorvastatin,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of atorvastatin affecting the dermatological system,combination,atorvastatin,mild,dermatological,"['pruritus', 'rash']",2
List moderate adverse events of isoniazid affecting the hepatobiliary system,combination,isoniazid,moderate,hepatobiliary,"['hepatocellular injury', 'hepatitis', 'hepatitis symptom', 'liver injury', 'jaundice', 'hepatic function abnormal']",6
List moderate adverse events of isoniazid affecting the immunological system,combination,isoniazid,moderate,immunological,"['hypersensitivity', 'vasculitis', 'systemic lupus erythematosus']",3
What moderate gastrointestinal side effects does isoniazid cause?,combination,isoniazid,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal disorder', 'reaction gastrointestinal', 'epigastric distress']",5
List mild adverse events of isoniazid affecting the gastrointestinal system,combination,isoniazid,mild,gastrointestinal,['nausea'],1
What severe cardiovascular side effects does desflurane cause?,combination,desflurane,severe,cardiovascular,"['cardiac arrest', 'myocardial infarction']",2
What moderate gastrointestinal side effects does desflurane cause?,combination,desflurane,moderate,gastrointestinal,"['vomiting', 'gastrointestinal disorder', 'abdominal pain', 'gastrointestinal pain']",4
What moderate cardiovascular side effects does desflurane cause?,combination,desflurane,moderate,cardiovascular,"['cardiac disorder', 'malignant hypertension', 'hypotension', 'tachyarrhythmia', 'myocardial ischaemia', 'nodal arrhythmia', 'hypertension', 'palpitations', 'arrhythmia']",9
Show respiratory toxicities of desflurane with moderate severity,combination,desflurane,moderate,respiratory,"['bronchospasm', 'respiratory arrest', 'respiratory distress', 'pulmonary function test decreased', 'asthma', 'hypoxia', 'cough', 'cough increased']",8
Show gastrointestinal toxicities of desflurane with mild severity,combination,desflurane,mild,gastrointestinal,['nausea'],1
What moderate immunological side effects does cetrorelix cause?,combination,cetrorelix,moderate,immunological,['hypersensitivity'],1
Show neurological toxicities of cetrorelix with mild severity,combination,cetrorelix,mild,neurological,['headache'],1
What moderate gastrointestinal side effects does cefepime cause?,combination,cefepime,moderate,gastrointestinal,"['vomiting', 'pseudomembranous colitis', 'colitis', 'gastrointestinal symptom nos', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal infection', 'abdominal pain']",8
What moderate immunological side effects does cefepime cause?,combination,cefepime,moderate,immunological,['hypersensitivity'],1
List moderate adverse events of cefepime affecting the hepatobiliary system,combination,cefepime,moderate,hepatobiliary,"['hepatic impairment', 'liver disorder', 'hepatic failure', 'cholestasis', 'hepatic function abnormal']",5
List mild adverse events of cefepime affecting the gastrointestinal system,combination,cefepime,mild,gastrointestinal,"['nausea', 'constipation']",2
Show gastrointestinal toxicities of raloxifene with moderate severity,combination,raloxifene,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal symptom nos', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
List moderate adverse events of raloxifene affecting the musculoskeletal system,combination,raloxifene,moderate,musculoskeletal,"['tendon disorder', 'myalgia', 'muscle spasms', 'arthralgia']",4
List moderate adverse events of raloxifene affecting the ocular system,combination,raloxifene,moderate,ocular,['conjunctivitis'],1
Show gastrointestinal toxicities of raloxifene with mild severity,combination,raloxifene,mild,gastrointestinal,['nausea'],1
List moderate adverse events of erlotinib affecting the gastrointestinal system,combination,erlotinib,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'colitis', 'gastrointestinal perforation', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain', 'intestinal perforation', 'gastrointestinal haemorrhage']",10
What moderate dermatological side effects does erlotinib cause?,combination,erlotinib,moderate,dermatological,"['dermatitis', 'skin hyperpigmentation', 'unspecified disorder of skin and subcutaneous tissue', 'skin exfoliation', 'dermatitis acneiform', 'skin disorder', 'alopecia', 'dry skin', 'skin fissures', 'dermatitis bullous']",10
Show psychiatric toxicities of erlotinib with moderate severity,combination,erlotinib,moderate,psychiatric,"['depression', 'anxiety']",2
Show gastrointestinal toxicities of erlotinib with mild severity,combination,erlotinib,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of erlotinib with mild severity,combination,erlotinib,mild,dermatological,"['rash pustular', 'pruritus', 'rash', 'papulopustular rash']",4
What mild psychiatric side effects does erlotinib cause?,combination,erlotinib,mild,psychiatric,['insomnia'],1
Show neurological toxicities of iodipamide with moderate severity,combination,iodipamide,moderate,neurological,['tremor'],1
What moderate immunological side effects does iodipamide cause?,combination,iodipamide,moderate,immunological,['hypersensitivity'],1
Show cardiovascular toxicities of iodipamide with moderate severity,combination,iodipamide,moderate,cardiovascular,['hypotension'],1
List mild adverse events of iodipamide affecting the neurological system,combination,iodipamide,mild,neurological,"['dizziness', 'headache']",2
What moderate gastrointestinal side effects does bile cause?,combination,bile,moderate,gastrointestinal,['gastrointestinal disorder'],1
What moderate hepatobiliary side effects does bile cause?,combination,bile,moderate,hepatobiliary,"['hepatobiliary disease', 'jaundice']",2
List moderate adverse events of bile affecting the neurological system,combination,bile,moderate,neurological,['neuropathy peripheral'],1
Show gastrointestinal toxicities of bile with mild severity,combination,bile,mild,gastrointestinal,['nausea'],1
What moderate psychiatric side effects does methazolamide cause?,combination,methazolamide,moderate,psychiatric,"['bone marrow depression', 'confusional state']",2
What moderate dermatological side effects does methazolamide cause?,combination,methazolamide,moderate,dermatological,"['dermatitis', 'photosensitivity', 'urticaria', 'photosensitivity reaction']",4
Show dermatological toxicities of methazolamide with mild severity,combination,methazolamide,mild,dermatological,['rash'],1
What severe cardiovascular side effects does mirtazapine cause?,combination,mirtazapine,severe,cardiovascular,['myocardial infarction'],1
List moderate adverse events of mirtazapine affecting the gastrointestinal system,combination,mirtazapine,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'colitis', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",9
Show dermatological toxicities of mirtazapine with moderate severity,combination,mirtazapine,moderate,dermatological,"['dermatitis', 'dermatitis exfoliative', 'urticaria', 'skin ulcer', 'unspecified disorder of skin and subcutaneous tissue', 'dyskinesia', 'skin hypertrophy', 'skin disorder', 'alopecia', 'seborrhoeic dermatitis', 'dry skin', 'photosensitivity reaction', 'dermatitis bullous']",13
What moderate cardiovascular side effects does mirtazapine cause?,combination,mirtazapine,moderate,cardiovascular,"['arrhythmia supraventricular', 'cardiac disorder', 'hypotension', 'orthostatic hypertension', 'thromboembolism', 'embolism', 'pulmonary embolism', 'ventricular arrhythmia', 'hypertension', 'angina pectoris', 'orthostatic hypotension', 'palpitations', 'atrial arrhythmia', 'embolism venous', 'arrhythmia']",15
What mild gastrointestinal side effects does mirtazapine cause?,combination,mirtazapine,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of mirtazapine with mild severity,combination,mirtazapine,mild,dermatological,"['pruritus', 'rash']",2
Show gastrointestinal toxicities of asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2 with moderate severity,combination,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,moderate,gastrointestinal,"['vomiting', 'abdominal cramps', 'abdominal discomfort', 'delayed gastric emptying', 'abdominal pain upper', 'abdominal pain', 'impaired gastric emptying']",7
What moderate dermatological side effects does asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2 cause?,combination,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,moderate,dermatological,['dermatitis'],1
List mild adverse events of asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2 affecting the gastrointestinal system,combination,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,mild,gastrointestinal,['nausea'],1
What mild neurological side effects does asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2 cause?,combination,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,mild,neurological,"['dizziness', 'headache']",2
List mild adverse events of asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2 affecting the dermatological system,combination,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,mild,dermatological,['rash'],1
What moderate gastrointestinal side effects does diclofenac cause?,combination,diclofenac,moderate,gastrointestinal,"['vomiting', 'abdominal cramps', 'intestinal ulcer', 'abdominal pain upper', 'gastrointestinal symptom nos', 'gastrointestinal haemorrhage', 'gastric ph decreased', 'colitis', 'enterocolitis haemorrhagic', 'gastritis', 'intestinal diaphragm disease', 'hemorrhagic colitis', 'gastrointestinal ulcer', 'intestinal perforation', 'dyspepsia', 'gastrointestinal disorder', 'abdominal distension', 'abdominal discomfort', 'epigastric pain', 'proctocolitis', 'gastrointestinal pain', 'colitis ulcerative', 'abdominal pain']",23
Show dermatological toxicities of diclofenac with moderate severity,combination,diclofenac,moderate,dermatological,"['skin ulcer', 'skin burning sensation', 'skin hypertrophy', 'seborrhoeic dermatitis', 'photosensitivity reaction', 'dry skin', 'skin odour abnormal', 'dermatitis', 'eczema', 'urticaria', 'allergic skin reaction', 'unspecified disorder of skin and subcutaneous tissue', 'skin nodule', 'dermatitis bullous', 'skin irritation', 'skin cancer', 'skin discolouration', 'dermatitis atopic', 'skin exfoliation', 'skin disorder', 'photosensitivity', 'dermatitis exfoliative', 'skin carcinoma', 'skin mass', 'dermatitis contact', 'alopecia']",26
What moderate immunological side effects does diclofenac cause?,combination,diclofenac,moderate,immunological,"['hypersensitivity', 'conjunctivitis allergic', 'allergic conditions', 'vasculitis']",4
List mild adverse events of diclofenac affecting the gastrointestinal system,combination,diclofenac,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild dermatological side effects does diclofenac cause?,combination,diclofenac,mild,dermatological,"['application site rash', 'pruritus', 'purpuric rash', 'vesiculobullous rash', 'rash', 'application site pruritus', 'eye pruritus', 'rash maculo-papular', 'rash pustular', 'eyelids pruritus']",10
List moderate adverse events of loteprednol affecting the ocular system,combination,loteprednol,moderate,ocular,"['cataract subcapsular', 'vision blurred', 'abnormal vision', 'keratoconjunctivitis', 'posterior subcapsular cataract', 'conjunctivitis']",6
What mild neurological side effects does loteprednol cause?,combination,loteprednol,mild,neurological,['headache'],1
Show dermatological toxicities of loteprednol with mild severity,combination,loteprednol,mild,dermatological,['pruritus'],1
Show gastrointestinal toxicities of dexamethasone with moderate severity,combination,dexamethasone,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",6
What moderate psychiatric side effects does dexamethasone cause?,combination,dexamethasone,moderate,psychiatric,"['suicidal ideation', 'hallucination', 'mania', 'anxiety']",4
List moderate adverse events of dexamethasone affecting the musculoskeletal system,combination,dexamethasone,moderate,musculoskeletal,"['fracture', 'osteoporosis', 'spinal compression fracture', 'muscle mass', 'myalgia', 'tendon rupture', 'muscle atrophy', 'joint instability', 'multiple fractures', 'arthralgia']",10
List mild adverse events of dexamethasone affecting the gastrointestinal system,combination,dexamethasone,mild,gastrointestinal,['nausea'],1
What mild psychiatric side effects does dexamethasone cause?,combination,dexamethasone,mild,psychiatric,['insomnia'],1
Show gastrointestinal toxicities of rapamycin with moderate severity,combination,rapamycin,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'enterocolitis', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",8
What moderate psychiatric side effects does rapamycin cause?,combination,rapamycin,moderate,psychiatric,"['confusional state', 'hallucination', 'anxiety', 'agitation']",4
Show musculoskeletal toxicities of rapamycin with moderate severity,combination,rapamycin,moderate,musculoskeletal,"['bone disorder', 'muscle spasms', 'osteoporosis', 'myalgia', 'bone pain', 'muscle relaxant therapy', 'arthralgia']",7
What mild gastrointestinal side effects does rapamycin cause?,combination,rapamycin,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of rapamycin affecting the psychiatric system,combination,rapamycin,mild,psychiatric,['insomnia'],1
List moderate adverse events of vincristine affecting the gastrointestinal system,combination,vincristine,moderate,gastrointestinal,"['vomiting', 'abdominal cramps', 'intestinal obstruction', 'intestinal necrosis', 'gastrointestinal pain', 'gastrointestinal disorder', 'gastrointestinal necrosis', 'abdominal colic', 'abdominal pain']",9
What moderate renal side effects does vincristine cause?,combination,vincristine,moderate,renal,"['urinary tract disorder', 'urinary retention', 'urate nephropathy', 'atonic urinary bladder', 'adrenal disorder']",5
What moderate dermatological side effects does vincristine cause?,combination,vincristine,moderate,dermatological,"['dermatitis', 'alopecia', 'photosensitivity reaction']",3
What mild gastrointestinal side effects does vincristine cause?,combination,vincristine,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of vincristine affecting the dermatological system,combination,vincristine,mild,dermatological,['rash'],1
List moderate adverse events of medroxyprogesterone affecting the gastrointestinal system,combination,medroxyprogesterone,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'abdominal bloating', 'abdominal pain lower', 'abdominal cramps', 'abdominal distress', 'intestinal infarction', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",12
Show dermatological toxicities of medroxyprogesterone with moderate severity,combination,medroxyprogesterone,moderate,dermatological,"['dermatitis', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'alopecia', 'dry skin', 'dermatitis hemorrhagic', 'skin odour abnormal']",8
What moderate immunological side effects does medroxyprogesterone cause?,combination,medroxyprogesterone,moderate,immunological,['hypersensitivity'],1
Show gastrointestinal toxicities of medroxyprogesterone with mild severity,combination,medroxyprogesterone,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of medroxyprogesterone affecting the dermatological system,combination,medroxyprogesterone,mild,dermatological,"['pruritus', 'rash', 'vulvovaginal pruritus', 'pruritus vulvae', 'rash generalised']",5
