query,query_type,drug,severity_filter,ground_truth,num_results
What mild side effects does levodopa/carbidopa cause?,severity_filtered,levodopa/carbidopa,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",9
List fatal adverse events of dofetilide,severity_filtered,dofetilide,fatal,['sudden death'],1
Show severe reactions to dofetilide,severity_filtered,dofetilide,severe,"['paralysis flaccid', 'paralysis', 'cardiac arrest', 'facial paralysis', 'viith nerve paralysis', 'myocardial infarction']",6
Find all moderate toxicities of dofetilide,severity_filtered,dofetilide,moderate,"['shock', 'oedema peripheral', 'cerebrovascular accident', 'postinfarction', 'cardiac failure', 'cough', 'hyperhidrosis', 'oedema', 'dermatitis', 'influenza', 'musculoskeletal discomfort', 'loss of consciousness', 'urinary tract infection', 'ventricular arrhythmia', 'anxiety', 'infarction', 'asthenia', 'palpitations', 'paraesthesia', 'angioedema', 'arthralgia', 'atrioventricular block', 'cough increased', 'migraine', 'cerebral ischaemia', 'injury', 'dyspnoea', 'sweating', 'torsade de pointes', 'hypertension', 'acute coronary syndrome', 'syncope', 'accidental injury', 'block heart', 'hepatocellular injury', 'back pain', 'ventricular fibrillation', 'respiratory tract infection', 'chest pain', 'liver injury', 'gastrointestinal pain', 'angina pectoris', 'pain', 'diarrhoea', 'abdominal pain', 'arrhythmia', 'bundle branch block']",47
What mild moderate side effects does dofetilide cause?,severity_filtered,dofetilide,mild_moderate,"['ventricular tachycardia', 'bradycardia', 'supraventricular tachycardia']",3
What mild side effects does dofetilide cause?,severity_filtered,dofetilide,mild,"['dizziness', 'headache', 'rash', 'nausea', 'insomnia']",5
Show life threatening reactions to lorazepam,severity_filtered,lorazepam,life_threatening,"['respiratory failure', 'coma']",2
Find all severe toxicities of lorazepam,severity_filtered,lorazepam,severe,"['cardiac arrest', 'paralysis']",2
What moderate side effects does lorazepam cause?,severity_filtered,lorazepam,moderate,"['hypersensitivity', 'disinhibition', 'obstructive airways disorder', 'gastrointestinal symptom nos', 'sedation', 'diplopia', 'memory impairment', 'gastrointestinal haemorrhage', 'arterial spasm', 'dermatitis', 'injection site reaction', 'injection site pain', 'pericardial effusion', 'respiratory depression', 'jaundice', 'pulmonary oedema', 'chills', 'ataxia', 'pulmonary haemorrhage', 'salivary hypersecretion', 'hypertension', 'gastrointestinal disorder', 'hyponatraemia', 'nervousness', 'hepatocellular injury', 'hyperventilation', 'suicidal ideation', 'liver function test abnormal', 'sleep disturbance', 'vision blurred', 'apnoea', 'visual disturbance', 'pancytopenia', 'erectile dysfunction', 'vertigo', 'thinking abnormal', 'aggression', 'drowsiness', 'lethargy', 'confusional state', 'delirium', 'agitation', 'erythema', 'sleep disorder', 'thrombocytopenia', 'ventricular arrhythmia', 'asthenia', 'myoclonus', 'excitement', 'anterograde amnesia', 'redness', 'airway obstruction nos', 'mental disability', 'oversedation', 'thrombocytosis', 'extrapyramidal symptoms', 'irritability', 'stupor', 'depressed level of consciousness', 'cystitis', 'liver injury', 'pain', 'hypoventilation', 'gangrene', 'arrhythmia', 'visual impairment', 'hypotension', 'hypoxia', 'psychotic disorder', 'excitability', 'dysarthria', 'cns depression nos', 'infection', 'bladder pain', 'hostility', 'amnesia', 'inappropriate antidiuretic hormone secretion', 'leukocytosis', 'extrapyramidal disorder', 'somnolence', 'body temperature decreased', 'tremor', 'unsteadiness', 'atrioventricular block', 'sleep apnoea syndrome', 'application site pain', 'block heart', 'respiratory arrest', 'tension', 'alopecia', 'blood alkaline phosphatase increased', 'hypochromic anaemia', 'vomiting', 'amnesia transient', 'instillation site pain', 'slurred speech', 'cystitis noninfective', 'euphoric mood', 'hypothermia', 'agranulocytosis', 'osteoarthritis', 'pneumothorax', 'phosphatase alkaline increased', 'brain oedema', 'pulmonary function test decreased', 'acidosis', 'pulmonary hypertension', 'disorientation', 'neuroleptic malignant syndrome', 'coagulopathy', 'urinary incontinence', 'feeling abnormal', 'balance disorder', 'hypersomnia', 'hallucination', 'convulsion', 'mania', 'obstructive sleep apnea syndrome']",118
Find all mild moderate toxicities of lorazepam,severity_filtered,lorazepam,mild_moderate,"['bradycardia', 'tachycardia']",2
Find all mild toxicities of lorazepam,severity_filtered,lorazepam,mild,"['dizziness', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth']",7
List life threatening adverse events of anthracycline,severity_filtered,anthracycline,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction']",2
List severe adverse events of anthracycline,severity_filtered,anthracycline,severe,"['cardiac arrest', 'myocardial infarction']",2
List moderate severe adverse events of anthracycline,severity_filtered,anthracycline,moderate_severe,['cardiotoxicity'],1
Find all moderate toxicities of anthracycline,severity_filtered,anthracycline,moderate,"['hypersensitivity', 'dental caries', 'radiation recall reaction (dermatologic)', 'menopausal symptoms', 'neutropenia', 'folliculitis', 'chest tightness', 'depression', 'seborrhoeic dermatitis', 'cardiac failure', 'gastrointestinal haemorrhage', 'gait disturbance', 'dermatitis', 'meningitis', 'melaena', 'musculoskeletal discomfort', 'loss of consciousness', 'pericardial effusion', 'anorexia', 'ventricular extrasystoles', 'chills', 'ataxia', 'dyspnoea', 'influenza like illness', 'acute cardiac toxicity', 'dehydration', 'hypertension', 'acute coronary syndrome', 'dysgeusia', 'sweating increased', 'neuropathy', 'oesophagitis', 'urine output increased', 'ill-defined disorder', 'gastrointestinal pain', 'flushing', 'chest discomfort', 'nocturia', 'pancytopenia', 'rigors', 'affect lability', 'opportunistic infection', 'hyperpyrexia', 'abnormal vision', 'thinking abnormal', 'necrosis', 'secondary infection', 'body temperature increased', 'confusional state', 'febrile neutropenia', 'cardiac disorder', 'hepatic impairment', 'liver disorder', 'agitation', 'erythema', 'gingival bleeding', 'thrombocytopenia', 'blood uric acid increased', 'lymphadenopathy', 'asthenia', 'red blotches', 'myelodysplastic syndrome', 'palpitations', 'alopecia reversible', 'arthralgia', 'pericarditis', 'skin hyperpigmentation', 'mental disability', 'cardiomyopathy', 'sinusitis', 'mood swings', 'anorectal discomfort', 'local reaction', 'cellulitis', 'splenomegaly', 'rhinitis', 'hepatomegaly', 'leukopenia', 'angina pectoris', 'pain', 'sickness', 'myalgia', 'arrhythmia', 'bundle branch block', 'visual impairment', 'hiccups', 'hyperuricaemia', 'renal impairment', 'thrombophlebitis', 'mucosal inflammation', 'infection', 'myocarditis', 'cough', 'nail disorder', 'dysphagia', 'hyperkinesia', 'amnesia', 'anxiety', 'tinnitus', 'somnolence', 'tremor', 'hepatic function abnormal', 'atrioventricular block', 'ulcer', 'ear pain', 'polyuria', 'neuropathy peripheral', 'decreased appetite', 'nail changes', 'lung infiltration', 'chest pain', 'electrocardiogram change', 'alopecia', 'welts', 'eye pain', 'injection site inflammation', 'hypertonia', 'induration', 'vomiting', 'increased appetite', 'shock', 'myelosuppression', 'dry skin', 'cardiac tamponade', 'stomatitis', 'hyperhidrosis', 'oedema', 'dysuria', 'urticaria', 'bone marrow depression', 'deafness', 'viral infection', 'gastritis', 'electrocardiogram abnormal', 'anaemia', 'pulmonary hypertension', 'thirst', 'proctalgia', 'extravasation', 'conjunctivitis', 'haemorrhoids', 'feeling abnormal', 'influenza-like symptoms', 'discomfort', 'hot flush', 'recall phenomenon', 'syncope', 'haemoptysis', 'back pain', 'rectal tenesmus', 'hallucination', 'malaise', 'dermatitis contact', 'convulsion', 'atrial fibrillation', 'diarrhoea', 'cardiac failure congestive', 'renal failure', 'abdominal pain']",159
Show mild moderate reactions to anthracycline,severity_filtered,anthracycline,mild_moderate,"['supraventricular tachycardia', 'sinus tachycardia', 'tachycardia']",3
List mild adverse events of anthracycline,severity_filtered,anthracycline,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'rash macular', 'nausea', 'dry mouth', 'insomnia']",10
Show severe reactions to caffeine,severity_filtered,caffeine,severe,['stroke volume increased'],1
What moderate side effects does caffeine cause?,severity_filtered,caffeine,moderate,"['hypersensitivity', 'retinopathy of prematurity', 'renal failure', 'impaired healing', 'sepsis', 'brain hypoxia', 'infusion site inflammation', 'sodium high', 'infestation', 'cerebral haemorrhage', 'infestation nos', 'infection', 'immune system disorder', 'dry skin', 'infusion site phlebitis', 'gastrointestinal haemorrhage', 'skin breakdown', 'regurgitation', 'dermatitis', 'cardiac disorder', 'thyroxine decreased', 'agitation', 'deafness', 'acidosis', 'gastritis', 'necrotising enterocolitis neonatal', 'hypoglycaemia', 'pulmonary oedema', 'haemoglobin decreased', 'injury', 'dyspnoea', 'feeling jittery', 'blood sodium increased', 'creatinine increased', 'hyperglycaemia', 'hypertension', 'gastrointestinal disorder', 'malnutrition', 'skin disorder', 'accidental injury', 'brain injury', 'ear and labyrinth disorders', 'irritability', 'hypercalcaemia', 'failure to thrive', 'haemorrhage', 'nervousness', 'haemoglobin', 'urine output increased', 'ca++ increased', 'blood creatinine increased', 'necrotizing enterocolitis', 'convulsion', 'nervous system disorder', 'disseminated intravascular coagulation', 'necrotising colitis']",56
What mild moderate side effects does caffeine cause?,severity_filtered,caffeine,mild_moderate,['tachycardia'],1
List mild adverse events of caffeine,severity_filtered,caffeine,mild,['rash'],1
Find all life threatening toxicities of sevoflurane,severity_filtered,sevoflurane,life_threatening,"['respiratory failure', 'anaphylactic shock', 'anaphylactoid reaction']",3
List severe adverse events of sevoflurane,severity_filtered,sevoflurane,severe,"['rhabdomyolysis', 'cardiac arrest']",2
List moderate severe adverse events of sevoflurane,severity_filtered,sevoflurane,moderate_severe,['pancreatitis'],1
Show moderate reactions to sevoflurane,severity_filtered,sevoflurane,moderate,"['hypersensitivity', 'arrhythmia supraventricular', 'obstructive airways disorder', 'renal failure acute', 'dermatitis', 'loss of consciousness', 'respiratory depression', 'jaundice', 'amblyopia', 'glycosuria', 'chills', 'salivary hypersecretion', 'dyspnoea', 'urination impaired', 'torsade de pointes', 'hypertension', 'gastrointestinal disorder', 'dysgeusia', 'wheezing', 'oliguria', 'extrasystoles', 'breath holding attack', 'nervousness', 'muscle twitching', 'hyperventilation', 'liver function test abnormal', 'apnoea', 'atrioventricular block complete', 'chest discomfort', 'mental disorder', 'urine analysis abnormal', 'tonic clonic movements', 'electrocardiogram t wave inversion', 'atrioventricular block second degree', 'hepatobiliary disease', 'body temperature increased', 'tubulointerstitial nephritis', 'confusional state', 'cardiac disorder', 'laryngospasm', 'agitation', 'shivering', 'thrombocytopenia', 'asthenia', 'hypophosphataemia', 'supraventricular extrasystoles', 'fluorosis', 'hepatitis', 'airway obstruction nos', 'hyperglycaemia', 'malnutrition', 'skin disorder', 'stridor', 'angiopathy', 'haemoglobin', 'bronchospasm', 'electrocardiogram qt prolonged', 'pain', 'hypoventilation', 'arrhythmia', 'hiccups', 'hypotension', 'urinary retention', 'hypoxia', 'swelling face', 'cough', 'unspecified disorder of skin and subcutaneous tissue', 'leukocytosis', 'body temperature decreased', 'somnolence', 'atrial arrhythmia', 'urine abnormality', 'hepatic function abnormal', 'increased bronchial secretion', 'ventricular bigeminy', 'breath holding', 'hyperbilirubinaemia', 'hyperkalaemia', 'haemorrhage', 'urinary tract disorder', 'chest pain', 'tension', 'occupational exposures', 'albuminuria', 'hypertonia', 'nervous system disorder', 'cough increased', 'eyelid oedema', 'vomiting', 'hepatic failure', 'urethral disorder', 'shock', 'intracranial pressure increased', 'electrocardiogram st segment depression', 'mediastinal disorder', 'immune system disorder', 'hypothermia', 'oedema', 'dysuria', 'urticaria', 'pulmonary function test decreased', 'acidosis', 'pharyngitis', 'fluoride increased', 'conjunctivitis', 'sputum increased', 'hepatic necrosis', 'bone disorder', 'feeling abnormal', 'syncope', 'muscle rigidity', 'ventricular fibrillation', 'dermatitis contact', 'convulsion', 'atrial fibrillation', 'ventricular extrasystoles', 'renal failure']",117
Find all mild moderate toxicities of sevoflurane,severity_filtered,sevoflurane,mild_moderate,"['ventricular tachycardia', 'bradycardia', 'tachycardia']",3
List mild adverse events of sevoflurane,severity_filtered,sevoflurane,mild,"['dizziness', 'pruritus', 'headache', 'rash', 'nausea', 'dry mouth', 'insomnia']",7
List life threatening adverse events of naloxone,severity_filtered,naloxone,life_threatening,['coma'],1
List severe adverse events of naloxone,severity_filtered,naloxone,severe,['cardiac arrest'],1
Show moderate reactions to naloxone,severity_filtered,naloxone,moderate,"['vomiting', 'abdominal cramps', 'trembling', 'menopausal symptoms', 'rhinorrhoea', 'piloerection', 'mediastinal disorder', 'depression', 'tremulousness', 'body temperature increased', 'hyperhidrosis', 'injection site reaction', 'cardiac disorder', 'hyperkinesia', 'sneezing', 'nasopharyngitis', 'agitation', 'shivering', 'unspecified disorder of skin and subcutaneous tissue', 'asthenia', 'tremor', 'paraesthesia', 'pulmonary oedema', 'chills', 'grand mal convulsion', 'cardiac fibrillation', 'excitement', 'dyspnoea', 'sweating', 'dependence on opiates', 'yawning', 'hot flush', 'hypertension', 'gastrointestinal disorder', 'encephalopathy', 'skin disorder', 'ache', 'irritability', 'angiopathy', 'nervousness', 'drug dependence', 'ventricular fibrillation', 'hallucination', 'flushing', 'pain', 'tension', 'convulsion', 'diarrhoea', 'nervous system disorder', 'abdominal pain', 'mental disorder', 'withdrawal syndrome']",52
List mild moderate adverse events of naloxone,severity_filtered,naloxone,mild_moderate,"['ventricular tachycardia', 'tachycardia']",2
Show mild reactions to naloxone,severity_filtered,naloxone,mild,['nausea'],1
Find all fatal toxicities of goserelin,severity_filtered,goserelin,fatal,['sudden cardiac death'],1
What life threatening side effects does goserelin cause?,severity_filtered,goserelin,life_threatening,"['anaphylactic shock', 'gynaecomastia']",2
Find all severe toxicities of goserelin,severity_filtered,goserelin,severe,"['iiird nerve paralysis', 'myocardial infarction']",2
List moderate adverse events of goserelin,severity_filtered,goserelin,moderate,"['hypersensitivity', 'nodule', 'upper respiratory tract infection', 'menopausal symptoms', 'blood pressure abnormal', 'oedema peripheral', 'depression', 'seborrhoeic dermatitis', 'breast disorder', 'transient ischaemic attack', 'dry eye', 'cardiac failure', 'cyst', 'dermatitis', 'injection site reaction', 'ophthalmoplegia', 'musculoskeletal discomfort', 'blood testosterone decreased', 'pulmonary embolism', 'swelling', 'weight increased', 'memory loss', 'pituitary tumour benign', 'bone cancer metastatic', 'metrorrhagia', 'anorexia', 'proctitis', 'jaundice', 'amblyopia', 'chills', 'application site reaction', 'mental state abnormal', 'dyspnoea', 'sweating', 'urination impaired', 'varicose vein', 'hypertension', 'acute coronary syndrome', 'endocrine disorder', 'pituitary adenoma', 'vulvovaginal dryness', 'uterine haemorrhage', 'vaginal haemorrhage', 'libido increased', 'nervousness', 'low density lipoprotein increased', 'ill-defined disorder', 'vision blurred', 'injection site irritation', 'gastrointestinal pain', 'ovarian cyst', 'incontinence', 'nocturia', 'bone pain', 'mental disorder', 'bronchial hyperreactivity', 'affect lability', 'erectile dysfunction', 'vasodilation procedure', 'thinking abnormal', 'drowsiness', 'body temperature increased', 'lethargy', 'muscle spasms', 'confusional state', 'febrile neutropenia', 'cardiac disorder', 'diabetes mellitus', 'erythema', 'thrombocytopenia', 'sleep disorder', 'blood uric acid increased', 'asthenia', 'testosterone low', 'palpitations', 'pituitary tumour', 'drug hypersensitivity', 'arthralgia', 'dyspepsia', 'hepatitis', 'breast atrophy', 'pollakiuria', 'skin discolouration', 'spinal cord compression', 'mental disability', 'body hair loss', 'sinusitis', 'bone density decreased', 'haematemesis', 'hyperglycaemia', 'uterine leiomyoma', 'malnutrition', 'change in blood pressure', 'skin disorder', 'mood swings', 'ovarian hyperstimulation syndrome', 'angiopathy', 'degeneration of uterine fibroid', 'haemoglobin', 'haematuria', 'rhinitis', 'cystitis', 'adverse reaction', 'leukopenia', 'angina pectoris', 'pain', 'gout', 'myalgia', 'lymphoedema', 'arrhythmia', 'hypotension', 'dysmenorrhoea', 'urinary retention', 'sepsis', 'hyperuricaemia', 'renal impairment', 'pituitary infarction', 'herpes zoster', 'psychotic disorder', 'thrombophlebitis', 'acne', 'infection', 'bladder pain', 'dyspareunia', 'cough', 'loss of libido', 'influenza', 'peripheral vascular disorder', 'amnesia', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'anxiety', 'somnolence', 'breast pain', 'polyp', 'paraesthesia', 'hepatic function abnormal', 'ulcer', 'eye disorder', 'flatulence', 'cerebral ischaemia', 'tenderness', 'arthropathy', 'galactorrhoea', 'high density lipoprotein decreased', 'vasodilation', 'bladder neoplasm', 'libido decreased', 'decreased appetite', 'haemorrhage', 'hirsutism', 'epistaxis', 'pituitary apoplexy', 'reaction aggravation', 'urinary tract disorder', 'vaginal dryness', 'chest pain', 'fracture', 'menorrhagia', 'osteoporosis', 'ureteric obstruction', 'ecchymosis', 'herpes simplex', 'hair disorder', 'alopecia', 'tension', 'breast swelling', 'hypertonia', 'nervous system disorder', 'pneumonia', 'cough increased', 'deep vein thrombosis', 'vomiting', 'vulvovaginitis', 'tumour pain', 'increased appetite', 'hyperlipidaemia', 'urethral disorder', 'glucose tolerance impaired', 'shock', 'lupus-like syndrome', 'cerebrovascular accident', 'cystitis noninfective', 'muscle mass', 'breast enlargement', 'immune system disorder', 'dry skin', 'photosensitivity reaction', 'pelvic pain', 'osteoarthritis', 'hyperhidrosis', 'oedema', 'neoplasm', 'dysuria', 'cramps of lower extremities', 'urticaria', 'infarction', 'pituitary haemorrhage', 'anaemia', 'thirst', 'pharyngitis', 'hypercholesterolaemia', 'rectal haemorrhage', 'condition aggravated', 'blood cholesterol increased', 'vaginal infection', 'extravasation', 'chronic obstructive pulmonary disease', 'migraine', 'bone disorder', 'urinary incontinence', 'vaginal inflammation', 'feeling abnormal', 'discomfort', 'hot flush', 'sexual dysfunction', 'lower urinary tract symptoms', 'amenorrhoea', 'hypercalcaemia', 'tumour flare', 'back pain', 'breast tenderness', 'bleeding breakthrough', 'blood pressure fluctuation', 'disturbance in sexual arousal', 'bronchitis', 'malaise', 'convulsion', 'diarrhoea', 'cardiac failure congestive', 'renal failure', 'abdominal pain', 'multiple fractures', 'high cholesterol']",234
What mild moderate side effects does goserelin cause?,severity_filtered,goserelin,mild_moderate,['tachycardia'],1
What mild side effects does goserelin cause?,severity_filtered,goserelin,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",9
What life threatening side effects does dothiepin cause?,severity_filtered,dothiepin,life_threatening,['gynaecomastia'],1
What severe side effects does dothiepin cause?,severity_filtered,dothiepin,severe,['myocardial infarction'],1
Find all moderate toxicities of dothiepin,severity_filtered,dothiepin,moderate,"['hypersensitivity', 'dermatitis', 'movement disorder', 'weight increased', 'black hairy tongue', 'dyskinesia', 'hypomania', 'angioedema', 'ataxia', 'sweating', 'hypertension', 'gastrointestinal disorder', 'endocrine disorder', 'acute coronary syndrome', 'dysgeusia', 'hyponatraemia', 'jaundice cholestatic', 'vision blurred', 'conduction disorder', 'disturbance in attention', 'intraocular pressure increased', 'pancytopenia', 'testicular swelling', 'erectile dysfunction', 'coordination abnormal', 'drowsiness', 'confusional state', 'delusion', 'agitation', 'thrombocytopenia', 'asthenia', 'palpitations', 'eosinophilia', 'excitement', 'dyspepsia', 'hepatitis', 'pollakiuria', 'mental disability', 'blister', 'malnutrition', 'ileus paralytic', 'extrapyramidal symptoms', 'orthostatic hypotension', 'cerebration impaired', 'arrhythmia', 'abdominal cramps', 'hypotension', 'urinary retention', 'weight decreased', 'anxiety', 'extrapyramidal disorder', 'taste peculiar', 'accommodation disorder', 'somnolence', 'tremor', 'paraesthesia', 'atrioventricular block', 'galactorrhoea', 'neuropathy peripheral', 'libido decreased', 'block heart', 'mydriasis', 'nervous system disorder', 'vomiting', 'increased appetite', 'cerebrovascular accident', 'immune system disorder', 'stomatitis', 'agranulocytosis', 'hyperhidrosis', 'tongue discolouration', 'urticaria', 'bone marrow depression', 'disorientation', 'epigastric distress', 'dermatitis bullous', 'feeling abnormal', 'hallucination', 'disturbance in sexual arousal', 'nightmare', 'convulsion', 'diarrhoea', 'abdominal pain']",83
Show mild moderate reactions to dothiepin,severity_filtered,dothiepin,mild_moderate,['tachycardia'],1
Find all mild toxicities of dothiepin,severity_filtered,dothiepin,mild,"['dizziness', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",8
Show fatal reactions to doxorubicin,severity_filtered,doxorubicin,fatal,['fatal outcomes'],1
Show life threatening reactions to doxorubicin,severity_filtered,doxorubicin,life_threatening,"['anaphylactic shock', 'stevens-johnson syndrome', 'anaphylactoid reaction', 'toxic epidermal necrolysis', 'coma']",5
Show severe reactions to doxorubicin,severity_filtered,doxorubicin,severe,"['cardiac arrest', 'paralysis']",2
Find all moderate severe toxicities of doxorubicin,severity_filtered,doxorubicin,moderate_severe,"['cardiotoxicity', 'pancreatitis']",2
