query,query_type,comparison_type,drug1,drug2,ground_truth
What side effects do tramazoline and triiodothyronine have in common?,drug_comparison,common,tramazoline,triiodothyronine,"['arrhythmia', 'tachycardia']"
Compare the side effect profiles of fluphenazine and esmolol,drug_comparison,comparison,fluphenazine,esmolol,"{'common': ['vomiting', 'hypotension', 'shock', 'cardiac arrest', 'constipation', 'drowsiness', 'body temperature increased', 'nasal congestion', 'hyperhidrosis', 'dry mouth', 'confusional state', 'pruritus', 'urticaria', 'agitation', 'erythema', 'loss of consciousness', 'somnolence', 'nausea', 'angioedema', 'headache', 'dyspnoea', 'feeling abnormal', 'syncope', 'skin disorder', 'sweating increased', 'decreased appetite', 'dizziness', 'pain'], 'unique_drug1': ['hypersensitivity', 'upper respiratory tract infection', 'choreoathetosis', 'pseudoparkinsonism', 'oedema peripheral', 'renal failure acute', 'seborrhoeic dermatitis', 'systemic lupus erythematosus', 'laryngeal dystonia', 'pulmonary embolism', 'edema cerebral', 'dyskinesia', 'faecaloma', 'blood disorder', 'altered state of consciousness', 'faecalith', 'salivary hypersecretion', 'laryngeal oedema', 'torsade de pointes', 'hypertension', 'hyponatraemia', 'photosensitivity', 'protrusion tongue', 'blood creatine phosphokinase increased', 'libido increased', 'urine output increased', 'dermatitis exfoliative', 'hepatocellular injury', 'defective colour vision', 'catatonia', 'diabetic', 'jaundice cholestatic', 'vision blurred', 'retinal disorder', 'opisthotonus', 'embolism venous', 'pancytopenia', 'glaucoma', 'erectile dysfunction', 'aggression', 'mitral valve incompetence', 'lethargy', 'muscle spasms', 'prolonged menses', 'diabetes mellitus', 'haemolytic anaemia', 'lupus erythematosus', 'spasmodic dysphonia', 'priapism', 'choreoathetoid movements', 'eosinophilia', 'excitement', 'labile blood pressure', 'hepatitis', 'consciousness abnormal', 'abnormal dreams', 'dermatitis atopic', 'autonomic nervous system imbalance', 'ileus paralytic', 'extrapyramidal symptoms', 'throat tightness', 'anaphylactoid reaction', 'brain injury', 'stupor', 'akinesia', 'depressed level of consciousness', 'leukopenia', 'liver injury', 'pigmentation disorder', 'oculogyric crisis', 'colour blindness', 'arrhythmia', 'dystonia', 'purpura non-thrombocytopenic', 'movements involuntary', 'cough', 'epigastric discomfort', 'dysphagia', 'eczema', 'allergic skin reaction', 'inappropriate antidiuretic hormone secretion', 'leukocytosis', 'extrapyramidal disorder', 'salivation', 'asphyxia', 'body temperature decreased', 'tremor', 'tenderness', 'gynaecomastia', 'corneal opacity', 'neurogenic bladder', 'tachycardia', 'galactorrhoea', 'polyuria', 'paralysis of bladder', 'mydriasis', 'menorrhagia', 'psychotic behaviour', 'menstruation irregular', 'pneumonia', 'bizarre dreams', 'deep vein thrombosis', 'hyperreflexia', 'akathisia', 'pigmentation skin', 'photosensitivity reaction', 'erythema multiforme', 'hypothermia', 'agranulocytosis', 'brain oedema', 'creatine phosphokinase increased', 'gastric irritation', 'hypotensive', 'asthma', 'night blindness', 'parkinsonism', 'neuroleptic malignant syndrome', 'anaphylactic shock', 'muscle rigidity', 'tardive dyskinesia', 'disturbance in sexual arousal', 'appetite absent', 'dystonic reaction', 'dermatitis contact', 'venous thromboembolism'], 'unique_drug2': ['pulseless electrical activity', 'nodal rhythm', 'cardiac failure', 'arterial spasm', 'sinus arrest', 'anorexia', 'pulmonary oedema', 'chills', 'rales', 'acute coronary syndrome', 'gastrointestinal disorder', 'skin exfoliation', 'dysgeusia', 'wheezing', 'oliguria', 'neuropathy', 'hypertensive crisis', 'flushing', 'mental disorder', 'rigors', 'angina unstable', 'inferior myocardial infarction', 'rhonchi', 'fatigue', 'abnormal vision', 'thinking abnormal', 'respiratory failure', 'atelectasis', 'cardiac disorder', 'nasopharyngitis', 'cold sweat', 'asthenia', 'speech disorder', 'supraventricular extrasystoles', 'dyspepsia', 'common cold', 'skin discolouration', 'mental disability', 'blister', 'sticky skin', 'irritability', 'infusion site reactions', 'angiopathy', 'bronchospasm', 'rhinitis', 'arteriospasm coronary', 'angina pectoris', 'visual impairment', 'urinary retention', 'thrombophlebitis', 'skin necrosis', 'peripheral ischaemia', 'unspecified disorder of skin and subcutaneous tissue', 'anxiety', 'paraesthesia', 'grand mal convulsion', 'atrioventricular block', 'tonic-clonic seizures', 'neuropathy peripheral', 'block heart', 'abdominal discomfort', 'urinary tract disorder', 'chest pain', 'ecchymosis', 'induration', 'nervous system disorder', 'psoriasis', 'renal tubular necrosis', 'myocardial ischaemia', 'urethral disorder', 'pleuritic pain', 'electrocardiogram st segment depression', 'hypotension asymptomatic', 'pneumothorax', 'oedema', 'dysuria', 'pallor', 'lightheadedness', 'electrocardiogram abnormal', 'pharyngitis', 'pleural effusion', 'extravasation', 'dermatitis bullous', 'myocardial infarction', 'bradycardia', 'inflammation', 'ventricular fibrillation', 'hypotension symptomatic', 'convulsion', 'ventricular extrasystoles', 'cardiac failure congestive']}"
Compare the side effect profiles of thiosulfate and prednefrin,drug_comparison,comparison,thiosulfate,prednefrin,"{'common': ['dysgeusia', 'headache'], 'unique_drug1': ['vomiting', 'hypotension', 'intoxication', 'clotting', 'coagulopathy', 'disorientation', 'poisoning', 'nausea', 'taste salty', 'bleeding time prolonged'], 'unique_drug2': ['hypersensitivity', 'pruritus', 'dermatitis', 'urticaria', 'mydriasis', 'cataract subcapsular', 'vision blurred', 'rash', 'corneal thinning', 'eye infection', 'eye irritation', 'nerve injury', 'visual disturbance', 'intraocular pressure increased', 'posterior subcapsular cataract', 'eye penetration', 'corneal perforation', 'visual impairment']}"
What side effects do ramipril and nimodipine have in common?,drug_comparison,common,ramipril,nimodipine,"['hypersensitivity', 'vomiting', 'hypotension', 'cramp muscle', 'hepatobiliary disease', 'immune system disorder', 'hyperhidrosis', 'oedema', 'muscle spasms', 'dermatitis', 'pruritus', 'lightheadedness', 'musculoskeletal discomfort', 'thrombocytopenia', 'jaundice', 'palpitations', 'nausea', 'hepatitis', 'headache', 'dyspnoea', 'tachycardia', 'gastrointestinal disorder', 'hyponatraemia', 'sweating increased', 'dizziness', 'blood and lymphatic system disorders', 'liver function test abnormal', 'rash', 'flushing', 'myalgia', 'diarrhoea', 'nervous system disorder']"
Compare the side effect profiles of dextran and carnitine,drug_comparison,comparison,dextran,carnitine,"{'common': ['vomiting', 'hypotension', 'infection', 'body temperature increased', 'nausea', 'fluid overload'], 'unique_drug1': ['urticaria', 'generalized urticaria', 'anaphylactic shock', 'cardiac arrest', 'anaphylactoid reaction', 'wheezing', 'extravasation', 'phlebitis'], 'unique_drug2': ['hypersensitivity', 'abdominal cramps', 'myasthenia', 'oedema peripheral', 'gastrointestinal symptom nos', 'depression', 'weight decreased', 'cough', 'dermatitis', 'pruritus', 'injection site reaction', 'influenza', 'melaena', 'musculoskeletal discomfort', 'urinary tract infection', 'weight increased', 'anxiety', 'anorexia', 'amblyopia', 'paraesthesia', 'impaired gastric emptying', 'eye disorder', 'headache', 'dyspnoea', 'tachycardia', 'hypertension', 'gastrointestinal disorder', 'dysgeusia', 'hyperkalaemia', 'decreased appetite', 'haemorrhage', 'drug dependence', 'cardiovascular disorder', 'chest pain', 'gastrointestinal pain', 'body odor', 'hypertonia', 'insomnia', 'vertigo', 'constipation', 'parathyroid disorder', 'muscle spasms', 'skin odour abnormal', 'cramps of lower extremities', 'gastric atony', 'gastritis', 'electrocardiogram abnormal', 'asthenia', 'anaemia', 'pharyngitis', 'palpitations', 'dyspepsia', 'injury', 'sinusitis', 'accidental injury', 'hypercalcaemia', 'angiopathy', 'haemoglobin', 'dizziness', 'muscular weakness', 'back pain', 'rhinitis', 'rash', 'bronchitis', 'pain', 'myalgia', 'convulsion', 'atrial fibrillation', 'diarrhoea', 'renal failure', 'abdominal pain', 'arrhythmia']}"
What side effects do desvenlafaxine and sumatriptan have in common?,drug_comparison,common,desvenlafaxine,sumatriptan,"['hypersensitivity', 'vomiting', 'myocardial ischaemia', 'fatigue', 'shock', 'vertigo', 'constipation', 'mediastinal disorder', 'immune system disorder', 'photosensitivity reaction', 'weight decreased', 'gastrointestinal haemorrhage', 'dry mouth', 'hyperhidrosis', 'dermatitis', 'musculoskeletal stiffness', 'loss of consciousness', 'weight increased', 'anxiety', 'asthenia', 'tinnitus', 'extrapyramidal disorder', 'somnolence', 'palpitations', 'tremor', 'paraesthesia', 'serotonin syndrome', 'nausea', 'angioedema', 'chills', 'myocardial infarction', 'eye disorder', 'headache', 'yawning', 'tachycardia', 'hypertension', 'gastrointestinal disorder', 'acute coronary syndrome', 'dysgeusia', 'skin disorder', 'syncope', 'angiopathy', 'decreased appetite', 'epistaxis', 'dizziness', 'connective tissue disorder', 'mydriasis', 'liver function test abnormal', 'hallucination', 'rash', 'blood pressure increased', 'convulsion', 'diarrhoea', 'nervous system disorder']"
Compare the side effect profiles of verteporfin and histamine,drug_comparison,comparison,verteporfin,histamine,"{'common': ['hypersensitivity', 'shock', 'vertigo', 'constipation', 'injection site swelling', 'body temperature increased', 'cough', 'hyperhidrosis', 'dermatitis', 'pruritus', 'injection site reaction', 'injection site pain', 'cardiac disorder', 'urticaria', 'musculoskeletal discomfort', 'unspecified disorder of skin and subcutaneous tissue', 'asthenia', 'anaemia', 'nausea', 'arthralgia', 'headache', 'dyspnoea', 'feeling abnormal', 'discomfort', 'malnutrition', 'hypertension', 'gastrointestinal disorder', 'skin disorder', 'angiopathy', 'injection site haemorrhage', 'dizziness', 'back pain', 'chest pain', 'ill-defined disorder', 'rash', 'flushing', 'pain', 'malaise', 'injection site inflammation', 'nervous system disorder', 'pneumonia'], 'unique_drug1': ['retinal detachment', 'infusion related reaction', 'cataract', 'myasthenia', 'infusion related pain', 'eye pruritus', 'hearing impaired', 'immune system disorder', 'photosensitivity reaction', 'dry eye', 'diplopia', 'osteoarthritis', 'black spot', 'oedema', 'vitreous haemorrhage', 'injection site hypersensitivity', 'eczema', 'influenza', 'peripheral vascular disorder', 'loss of consciousness', 'fuzzy head', 'sleep disorder', 'scotoma', 'photopsia', 'conjunctival hyperaemia', 'pharyngitis', 'gastrointestinal neoplasm malignant', 'lacrimal structural disorder', 'hypercholesterolaemia', 'hyperaesthesia', 'atrial fibrillation', 'injection site extravasation', 'extravasation', 'hypoaesthesia', 'dermatitis bullous', 'conjunctivitis', 'myocardial infarction', 'visual acuity reduced', 'eye disorder', 'arthropathy', 'sweating', 'retinal oedema', 'varicose vein', 'blister', 'creatinine increased', 'gastrointestinal carcinoma', 'acute coronary syndrome', 'blepharitis', 'change in blood pressure', 'syncope', 'photosensitivity', 'macular oedema', 'partial hearing loss', 'inflammation', 'white blood cell count decreased', 'white blood cell count increased', 'prostatic disorder', 'haemorrhage', 'haemoglobin', 'sunburn', 'raised liver function tests', 'muscular weakness', 'musculoskeletal pain', 'liver function test abnormal', 'vision blurred', 'lacrimal disorder', 'blood pressure fluctuation', 'blood creatinine increased', 'general symptom', 'melanoderma', 'retinal pigment epithelial tear', 'visual disturbance', 'retinal haemorrhage', 'albuminuria', 'injection site discolouration', 'visual impairment'], 'unique_drug2': ['upper respiratory tract infection', 'abdominal cramps', 'vomiting', 'hypotension', 'menopausal symptoms', 'fatigue', 'neutropenia', 'abdominal pain upper', 'infestation', 'oedema peripheral', 'mediastinal disorder', 'infestation nos', 'infection', 'dry skin', 'weight decreased', 'stomatitis', 'nasal congestion', 'dry mouth', 'neoplasm', 'taste metallic', 'erythema', 'thrombocytopenia', 'asthma', 'anxiety', 'gastritis', 'anorexia', 'vasomotor collapse', 'palpitations', 'injection site dermatitis', 'night sweats', 'paraesthesia', 'chills', 'eosinophilia', 'injection site granuloma', 'dyspepsia', 'feeling hot', 'influenza like illness', 'injection site bruising', 'anaphylactic shock', 'dehydration', 'pain in extremity', 'hot flush', 'tachycardia', 'endocrine disorder', 'dysgeusia', 'abdominal distension', 'ear and labyrinth disorders', 'wheezing', 'hypothyroidism', 'decreased appetite', 'bronchoconstriction', 'connective tissue disorder', 'bronchospasm', 'blood and lymphatic system disorders', 'injection site erythema', 'leukopenia', 'injection site fibrosis', 'injection site urticaria', 'injection site pruritus', 'myalgia', 'welts', 'diarrhoea', 'abdominal pain', 'mental disorder', 'insomnia']}"
Compare the side effect profiles of clocortolone and varenicline,drug_comparison,comparison,clocortolone,varenicline,"{'common': ['dermatitis', 'pruritus', 'infection', 'rash'], 'unique_drug1': ['allergic contact dermatitis', 'eruption', 'hypertrichosis', 'folliculitis', 'dermatitis perioral', 'dermatitis contact', 'skin atrophy', 'secondary infection', 'miliaria', 'skin striae', 'leukoderma'], 'unique_drug2': ['hypersensitivity', 'semen analysis abnormal', 'dysphonia', 'menopausal symptoms', 'oedema peripheral', 'anger', 'costochondritis', 'renal failure acute', 'breast disorder', 'circadian rhythm sleep disorder', 'eructation', 'gastrointestinal haemorrhage', 'hypogeusia', 'pulmonary embolism', 'weight increased', 'hypoaesthesia', 'chills', 'salivary hypersecretion', 'scleral discolouration', 'influenza like illness', 'varicose vein', 'hypertension', 'gastrointestinal disorder', 'endocrine disorder', 'dysgeusia', 'acute coronary syndrome', 'pharyngolaryngeal pain', 'libido increased', 'paranoia', 'toothache', 'sleep disturbance', 'ill-defined disorder', 'visual disturbance', 'chest discomfort', 'urine analysis abnormal', 'salivary gland conditions', 'fatigue', 'erectile dysfunction', 'rhinorrhoea', 'restless legs syndrome', 'thinking abnormal', 'aggression', 'ocular vascular disorder', 'infestation nos', 'body temperature increased', 'thrombosis', 'dry mouth', 'cardiac disorder', 'delusion', 'gastrooesophageal reflux disease', 'agitation', 'thrombocytopenia', 'depressed mood', 'palpitations', 'somnambulism', 'arthralgia', 'dyspepsia', 'enterocolitis', 'pleurisy', 'sinusitis', 'malnutrition', 'extrapyramidal symptoms', 'skin disorder', 'mood swings', 'homicidal ideation', 'irritability', 'splenomegaly', 'blood and lymphatic system disorders', 'angina pectoris', 'pain', 'joint stiffness', 'visual impairment', 'blood calcium decreased', 'urinary retention', 'dysphoria', 'infestation', 'cramp muscle', 'psychotic disorder', 'urethral syndrome', 'acne', 'dysarthria', 'cough', 'hostility', 'dysphagia', 'eczema', 'haematochezia', 'amnesia', 'unspecified disorder of skin and subcutaneous tissue', 'anxiety', 'sinus congestion', 'tinnitus', 'initial insomnia', 'extrapyramidal disorder', 'somnolence', 'urine abnormality', 'gingivitis', 'eye disorder', 'flatulence', 'polyuria', 'abdominal distension', 'arthritis', 'hyperkalaemia', 'decreased appetite', 'epistaxis', 'abdominal discomfort', 'urinary tract disorder', 'menorrhagia', 'osteoporosis', 'hoarseness', 'hypertonia', 'rhinitis allergic', 'insomnia', 'psoriasis', 'dissociation', 'hyperlipidaemia', 'hypokalaemia', 'constipation', 'cerebrovascular accident', 'mediastinal disorder', 'abnormal faeces', 'euphoric mood', 'immune system disorder', 'musculoskeletal chest pain', 'oedema', 'hyperhidrosis', 'parosmia', 'urticaria', 'myositis', 'gallbladder disorder', 'viral infection', 'electrocardiogram abnormal', 'anaemia', 'thirst', 'disorientation', 'facial paralysis', 'myopia', 'multiple sclerosis', 'conjunctivitis', 'myocardial infarction', 'gingival pain', 'injury', 'syncope', 'menstrual disorder', 'accidental injury', 'withdrawal symptom', 'connective tissue disorder', 'back pain', 'musculoskeletal pain', 'electrocardiogram t wave amplitude decreased', 'disturbance in sexual arousal', 'bronchitis', 'malaise', 'convulsion', 'abdominal pain', 'postnasal drip', 'sensory disturbance', 'throat irritation', 'abdominal pain upper', 'depression', 'upper respiratory tract inflammation', 'transient ischaemic attack', 'dry eye', 'cyst', 'gastric ulcer', 'musculoskeletal discomfort', 'loss of consciousness', 'anorexia', 'glycosuria', 'angioedema', 'dyspnoea', 'emotional disorder', 'panic reaction', 'chest wall pain', 'ear and labyrinth disorders', 'oesophagitis', 'urine output increased', 'semen abnormal', 'suicidal ideation', 'liver function test abnormal', 'vision blurred', 'gastrointestinal pain', 'middle insomnia', 'suicide', 'disturbance in attention', 'nephrolithiasis', 'nocturia', 'mental disorder', 'affect lability', 'upper-airway cough syndrome', 'muscle enzyme increased', 'vertigo', 'tongue coated', 'coordination abnormal', 'hepatobiliary disease', 'rash generalised', 'lethargy', 'muscle spasms', 'nasopharyngitis', 'diabetes mellitus', 'erythema', ""meniere's disease"", 'sleep disorder', 'scotoma', 'asthenia', 'lymphadenopathy', 'neurological disorders nec', 'mouth ulceration', 'night sweats', 'drug hypersensitivity', 'pollakiuria', 'abnormal dreams', 'mental disability', 'haematemesis', 'hyperglycaemia', 'drug withdrawal syndrome', 'respiratory disorders nec', 'mental retardation', 'acquired night blindness', 'diarrhoea', 'angiopathy', 'dizziness', 'blood pressure increased', 'myalgia', 'arrhythmia', 'hypotension', 'suicide attempt', 'psychomotor skills impaired', 'viith nerve paralysis', 'thyroid disorder', 'photophobia', 'peripheral ischaemia', 'peripheral vascular disorder', 'snoring', 'leukocytosis', 'blindness transient', 'lacrimation increased', 'hypoglycaemia', 'tremor', 'nausea', 'abnormal behaviour', 'headache', 'terminal insomnia', 'tenderness', 'cataract subcapsular', 'tachycardia', 'bradyphrenia', 'libido decreased', 'aphthous stomatitis', 'intestinal obstruction', 'platelet count decreased', 'mydriasis', 'chest pain', 'vitreous floaters', 'vaginal discharge', 'eye pain', 'nervous system disorder', 'fungal infection', 'vomiting', 'increased appetite', 'nystagmus', 'urethral disorder', 'shock', 'frustration', 'electrocardiogram st segment depression', 'upset stomach', 'photosensitivity reaction', 'erythema multiforme', 'dry skin', 'stomatitis', 'osteoarthritis', 'coronary artery disease', 'deafness', 'laryngeal pain', 'asthma', 'gastritis', 'cardiac flutter', 'c-reactive protein increased', 'night blindness', 'respiratory tract congestion', 'migraine', 'change of bowel habit', 'feeling abnormal', 'stevens-johnson syndrome', 'discomfort', 'bradycardia', 'hot flush', 'sexual dysfunction', 'cor pulmonale', 'balance disorder', 'pancreatitis acute', 'hallucination', 'epidermal and dermal conditions', 'nightmare', 'polydipsia', 'eye irritation', 'mania', 'completed suicide', 'atrial fibrillation', 'ventricular extrasystoles']}"
Compare the side effect profiles of danazol and diethylenetriaminepentaacetic,drug_comparison,comparison,danazol,diethylenetriaminepentaacetic,"{'common': ['dermatitis', 'dizziness', 'headache', 'pelvic pain', 'nausea'], 'unique_drug1': ['nodule', 'splenic peliosis', 'dysphonia', 'abdominal pain upper', 'cramp muscle', 'joint lock', 'acne', 'seborrhoeic dermatitis', 'pruritus', 'musculoskeletal discomfort', 'carpal tunnel syndrome', 'loss of consciousness', 'weight increased', 'anxiety', 'leukocytosis', 'jaundice', 'tremor', 'polycythaemia', 'paraesthesia', 'hepatic function abnormal', 'chills', 'interstitial lung disease', 'sweating', 'pancreatitis', 'tachycardia', 'hypertension', 'acute coronary syndrome', 'breast discharge', 'vulvovaginal dryness', 'photosensitivity', 'tremor muscle', 'haemorrhage', 'nervousness', 'hirsutism', 'vaginal dryness', ""bartholin's cyst"", 'jaundice cholestatic', 'peliosis hepatis', 'vision blurred', 'epigastric pain', 'hoarseness', 'flushing', 'hepatic adenoma', 'tension', 'visual disturbance', 'alopecia', 'fluid retention', 'oropharyngeal pain', 'vomiting', 'joint swelling', 'affect lability', 'guillain-barre syndrome', 'cataract', 'fatigue', 'shock', 'pleuritic pain', 'vertigo', 'constipation', 'hypertrophy', 'pigmentation skin', 'photosensitivity reaction', 'erythema multiforme', 'body temperature increased', 'nasal congestion', 'thrombosis', 'hyperhidrosis', 'muscle spasms', 'oedema', 'urticaria', 'oropharyngeal discomfort', 'gingival bleeding', 'thrombocytopenia', 'sleep disorder', 'asthenia', 'palpitations', 'erythrocytosis', 'eosinophilia', 'arthralgia', 'dyspepsia', 'myocardial infarction', 'migraine', 'blood insulin increased', 'hepatic neoplasm', 'stevens-johnson syndrome', 'syncope', 'mood swings', 'interstitial pneumonia', 'amenorrhoea', 'irritability', 'benign intracranial hypertension', 'throat sore', 'haemoglobin', 'haematuria', 'back pain', 'testicular atrophy', 'laboratory test abnormal', 'gastroenteritis', 'leukopenia', 'epilepsy', 'arterial thrombosis', 'rash', 'pigmentation disorder', 'convulsion', 'hyperinsulinism', 'visual impairment'], 'unique_drug2': ['hypersensitivity', 'injection site reaction', 'lightheadedness', 'chest pain', 'diarrhoea', 'dysgeusia', 'wheezing', 'cough', 'taste metallic']}"
Which side effects are unique to diphenhydramine compared to choline?,drug_comparison,unique,diphenhydramine,choline,"['urinary retention', 'fatigue', 'vertigo', 'constipation', 'chest tightness', 'euphoric mood', 'photosensitivity reaction', 'drowsiness', 'diplopia', 'agranulocytosis', 'nasal congestion', 'hyperhidrosis', 'drug eruption', 'confusional state', 'haemolytic anaemia', 'asthenia', 'tinnitus', 'somnolence', 'tremor', 'paraesthesia', 'epigastric distress', 'chills', 'dyspepsia', 'pollakiuria', 'feeling abnormal', 'photosensitivity', 'wheezing', 'neuropathy peripheral', 'sweating increased', 'labyrinthitis', 'vision blurred', 'neuritis', 'chest discomfort']"
Which side effects are unique to iloperidone compared to milrinone?,drug_comparison,unique,iloperidone,milrinone,"['upper respiratory tract infection', 'haematocrit decreased', 'renal failure acute', 'breast disorder', 'dry eye', 'cardiac failure', 'gait disturbance', 'musculoskeletal discomfort', 'weight increased', 'metrorrhagia', 'dyskinesia', 'blood disorder', 'duodenal ulcer', 'salivary hypersecretion', 'dyspnoea', 'dehydration', 'enuresis', 'gastrointestinal disorder', 'endocrine disorder', 'ear and labyrinth disorders', 'paranoia', 'catatonia', 'polydipsia psychogenic', 'vision blurred', 'hyperchlorhydria', 'nephrolithiasis', 'mental disorder', 'bulimia nervosa', 'hiatus hernia', 'affect lability', 'cataract', 'fatigue', 'erectile dysfunction', 'rhinorrhoea', 'vertigo', 'panic attack', 'faecal incontinence', 'restless legs syndrome', 'aggression', 'hepatobiliary disease', 'iron deficiency anaemia', 'body temperature increased', 'lethargy', 'dry mouth', 'muscle spasms', 'confusional state', 'cardiac disorder', 'delusion', 'nasopharyngitis', 'gastric ph decreased', 'delirium', 'gastrooesophageal reflux disease', 'agitation', 'musculoskeletal stiffness', 'lenticular opacities', 'asthenia', 'major depression', 'palpitations', 'eye swelling', 'mouth ulceration', 'arthralgia', 'pollakiuria', 'testicular pain', 'malnutrition', 'extrapyramidal symptoms', 'blepharitis', 'orthostatic hypotension', 'mood swings', 'nasal dryness', 'angiopathy', 'dizziness', 'torticollis', 'leukopenia', 'bradykinesia', 'reflux esophagitis', 'retrograde ejaculation', 'myalgia', 'prostatitis', 'urinary retention', 'psychotic disorder', 'infection', 'weight decreased', 'hostility', 'anorgasmia', 'amnesia', 'sinus congestion', 'tinnitus', 'extrapyramidal disorder', 'somnolence', 'breast pain', 'paraesthesia', 'nausea', 'haemoglobin decreased', 'neutrophil count increased', 'eye disorder', 'sleep apnoea syndrome', 'lip pain', 'gynaecomastia', 'tachycardia', 'libido decreased', 'aphthous stomatitis', 'epistaxis', 'abdominal discomfort', 'urinary tract disorder', 'hyperaemia', 'menorrhagia', 'menstruation irregular', 'dry throat', 'atrioventricular block first degree', 'fluid retention', 'nervous system disorder', 'eyelid oedema', 'lip ulceration', 'increased appetite', 'nystagmus', 'urethral disorder', 'mediastinal disorder', 'akathisia', 'dyspnoea exertional', 'stomatitis', 'nasal congestion', 'oedema', 'impulse-control disorder', 'obsessive-compulsive disorder', 'dysuria', 'cheilitis', 'asthma', 'gastritis', 'anaemia', 'thirst', 'conjunctivitis', 'parkinsonism', 'urinary incontinence', 'feeling abnormal', 'ejaculation failure', 'amenorrhoea', 'cholelithiasis', 'hypothyroidism', 'connective tissue disorder', 'walking disability', 'disturbance in sexual arousal', 'mania', 'diarrhoea']"
