query,query_type,drug,organ_filter,ground_truth,num_results
Find all gastrointestinal adverse events from bezafibrate,organ_specific,bezafibrate,gastrointestinal,"['dyspepsia', 'nausea', 'epigastric distress', 'gastritis', 'constipation', 'gastrointestinal pain', 'abdominal pain']",7
What dermatological side effects does bezafibrate cause?,organ_specific,bezafibrate,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'rash', 'alopecia', 'photosensitivity', 'photosensitivity reaction']",8
What hepatobiliary side effects does bezafibrate cause?,organ_specific,bezafibrate,hepatobiliary,"['cholestasis', 'liver function test abnormal']",2
What neurological side effects does bezafibrate cause?,organ_specific,bezafibrate,neurological,"['dizziness', 'headache', 'migraine']",3
List bezafibrate's effects on the immunological system,organ_specific,bezafibrate,immunological,['hypersensitivity'],1
What are the renal risks of taking bezafibrate?,organ_specific,bezafibrate,renal,"['blood creatinine increased', 'urinary tract disorder', 'renal failure acute', 'serum creatinine increased']",4
What musculoskeletal side effects does bezafibrate cause?,organ_specific,bezafibrate,musculoskeletal,"['myalgia', 'rhabdomyolysis', 'cramp muscle', 'muscle spasms']",4
What cardiovascular side effects does bezafibrate cause?,organ_specific,bezafibrate,cardiovascular,['myocardial infarction'],1
What hematological side effects does bezafibrate cause?,organ_specific,bezafibrate,hematological,"['thrombocytopenia', 'pancytopenia']",2
Show psychiatric toxicity of bezafibrate,organ_specific,bezafibrate,psychiatric,['insomnia'],1
What gastrointestinal side effects does papaverine cause?,organ_specific,papaverine,gastrointestinal,"['abdominal discomfort', 'nausea', 'constipation']",3
List papaverine's effects on the dermatological system,organ_specific,papaverine,dermatological,"['dermatitis', 'rash']",2
List papaverine's effects on the neurological system,organ_specific,papaverine,neurological,"['headache', 'vertigo']",2
Find all hepatobiliary adverse events from papaverine,organ_specific,papaverine,hepatobiliary,['hepatitis'],1
Find all neurological adverse events from isoxsuprine,organ_specific,isoxsuprine,neurological,['dizziness'],1
What are the dermatological risks of taking isoxsuprine?,organ_specific,isoxsuprine,dermatological,"['dermatitis', 'rash']",2
Show cardiovascular toxicity of isoxsuprine,organ_specific,isoxsuprine,cardiovascular,"['tachycardia foetal', 'hypotension', 'tachycardia']",3
Show gastrointestinal toxicity of isoxsuprine,organ_specific,isoxsuprine,gastrointestinal,"['vomiting', 'abdominal discomfort', 'abdominal distress', 'nausea']",4
What respiratory side effects does isoxsuprine cause?,organ_specific,isoxsuprine,respiratory,['pulmonary oedema'],1
Find all dermatological adverse events from 5-fu,organ_specific,5-fu,dermatological,"['dermatitis', 'pruritus', 'skin irritation', 'urticaria', 'allergic contact dermatitis', 'skin hyperpigmentation', 'rash', 'alopecia', 'dermatitis contact', 'dry skin', 'photosensitivity reaction', 'photosensitivity', 'rash maculo-papular', 'dermatitis bullous']",14
What immunological side effects does 5-fu cause?,organ_specific,5-fu,immunological,"['hypersensitivity', 'anaphylactic shock']",2
What are the cardiovascular risks of taking 5-fu?,organ_specific,5-fu,cardiovascular,"['hypotension', 'myocardial ischaemia', 'cardiac arrest', 'tachycardia', 'angina pectoris', 'heartburn', 'cardiac failure', 'arrhythmia', 'myocardial infarction']",9
What are the neurological risks of taking 5-fu?,organ_specific,5-fu,neurological,"['parkinsonism', 'dizziness', 'ataxia', 'headache', 'cerebellar ataxia', 'neuropathy peripheral']",6
Find all psychiatric adverse events from 5-fu,organ_specific,5-fu,psychiatric,"['insomnia', 'confusional state']",2
Find all ocular adverse events from 5-fu,organ_specific,5-fu,ocular,"['optic nerve disorder', 'chronic conjunctivitis', 'vision blurred', 'conjunctivitis']",4
What are the gastrointestinal risks of taking 5-fu?,organ_specific,5-fu,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal ulcer haemorrhage', 'gastrointestinal symptom nos', 'gastrointestinal disorder', 'nausea', 'gastrointestinal haemorrhage']",7
List 5-fu's effects on the hematological system,organ_specific,5-fu,hematological,"['thrombocytopenia', 'leukopenia', 'pancytopenia', 'febrile neutropenia']",4
Find all respiratory adverse events from 5-fu,organ_specific,5-fu,respiratory,"['upper respiratory tract infection', 'pneumonia', 'acute pulmonary oedema']",3
List 5-fu's effects on the renal system,organ_specific,5-fu,renal,['urinary tract infection'],1
List 5-fu's effects on the musculoskeletal system,organ_specific,5-fu,musculoskeletal,['myalgia'],1
What are the hepatobiliary risks of taking 5-fu?,organ_specific,5-fu,hepatobiliary,['biliary fibrosis'],1
Show gastrointestinal toxicity of v,organ_specific,v,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal discomfort', 'upper gastrointestinal haemorrhage', 'abdominal pain upper', 'gastritis', 'constipation', 'gastrointestinal symptom nos', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain', 'gastric ulcer']",14
What dermatological side effects does v cause?,organ_specific,v,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'skin cancer', 'skin ulcer', 'pustular psoriasis', 'unspecified disorder of skin and subcutaneous tissue', 'plaque psoriasis', 'rash', 'erythrodermic psoriasis', 'skin disorder', 'alopecia', 'dry skin', 'dermatitis bullous', 'skin infection', 'psoriasis']",17
Show psychiatric toxicity of v,organ_specific,v,psychiatric,"['agitation', 'anxiety', 'depression', 'hallucination, visual', 'insomnia', 'confusional state']",6
List v's effects on the cardiovascular system,organ_specific,v,cardiovascular,"['cardiovascular disorder', 'heart sounds abnormal', 'hypertension', 'thrombosis', 'benign intracranial hypertension', 'cardiac failure', 'arrhythmia', 'myocardial infarction']",8
Show musculoskeletal toxicity of v,organ_specific,v,musculoskeletal,"['joint dislocation', 'fracture', 'rhabdomyolysis', 'muscle contractions involuntary', 'cramp muscle', 'contraction skeletal muscle', 'myalgia', 'tendon disorder', 'multiple fractures', 'muscle spasms', 'arthralgia']",11
Show respiratory toxicity of v,organ_specific,v,respiratory,"['upper respiratory tract infection', 'bronchospasm', 'acute respiratory distress syndrome', 'cough', 'pneumonia']",5
List v's effects on the neurological system,organ_specific,v,neurological,"['dizziness', 'headache', 'migraine', 'vertigo', 'polyneuropathy', 'autonomic neuropathy', 'cerebellar ataxia', 'tremor', 'neuropathy peripheral', 'neuropathy']",10
List v's effects on the hepatobiliary system,organ_specific,v,hepatobiliary,"['hepatocellular injury', 'hepatitis', 'hepatic failure', 'traumatic liver injury', 'liver injury', 'hepatotoxicity', 'hepatobiliary disease', 'jaundice', 'cholestasis', 'hepatic function abnormal']",10
Find all ocular adverse events from v,organ_specific,v,ocular,"['optic neuritis', 'cataract', 'vision blurred', 'abnormal vision', 'blindness cortical', 'conjunctivitis']",6
Show otic toxicity of v,organ_specific,v,otic,"['deafness', 'hearing impaired', 'tinnitus']",3
List v's effects on the endocrine system,organ_specific,v,endocrine,['diabetes mellitus'],1
What are the hematological risks of taking v?,organ_specific,v,hematological,"['thrombocytopenia', 'gingival bleeding', 'leukopenia']",3
List v's effects on the immunological system,organ_specific,v,immunological,"['hypersensitivity', 'anaphylactic shock', 'anaphylactoid reaction']",3
What are the renal risks of taking v?,organ_specific,v,renal,"['function kidney decreased', 'nephrosis lower nephron', 'renal tubular necrosis', 'urinary tract disorder', 'polyomavirus-associated nephropathy', 'urinary incontinence', 'renal impairment', 'urinary tract infection', 'progressive renal failure', 'creatinine increased', 'serum creatinine increased', 'blood creatinine increased', 'renal abscess', 'nephropathy toxic', 'nephrotoxicity', 'renal failure', 'nephropathy', 'renal graft loss']",18
Find all musculoskeletal adverse events from tibolone,organ_specific,tibolone,musculoskeletal,"['myalgia', 'arthralgia']",2
Find all neurological adverse events from tibolone,organ_specific,tibolone,neurological,"['dizziness', 'headache', 'migraine']",3
Show dermatological toxicity of tibolone,organ_specific,tibolone,dermatological,"['dermatitis', 'pruritus', 'pruritus genital', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder']",6
Find all hepatobiliary adverse events from tibolone,organ_specific,tibolone,hepatobiliary,['gallbladder disorder'],1
Show gastrointestinal toxicity of tibolone,organ_specific,tibolone,gastrointestinal,"['abdominal pain lower', 'gastrointestinal disorder', 'abdominal discomfort', 'gastrointestinal tract irritation']",4
What cardiovascular side effects does tibolone cause?,organ_specific,tibolone,cardiovascular,"['venous thromboembolism', 'pulmonary embolism', 'pelvic venous thrombosis', 'embolism venous', 'myocardial infarction']",5
List tibolone's effects on the ocular system,organ_specific,tibolone,ocular,['vision blurred'],1
What are the immunological risks of taking forteo?,organ_specific,forteo,immunological,"['hypersensitivity', 'anaphylactic shock', 'drug hypersensitivity']",3
Find all cardiovascular adverse events from forteo,organ_specific,forteo,cardiovascular,"['cardiac disorder', 'hypotension', 'tachycardia', 'angina pectoris', 'hypertension', 'cardiac murmur', 'palpitations']",7
What psychiatric side effects does forteo cause?,organ_specific,forteo,psychiatric,"['depression', 'anxiety', 'insomnia']",3
Show musculoskeletal toxicity of forteo,organ_specific,forteo,musculoskeletal,"['bone disorder', 'bone neoplasm', 'cramp muscle', 'myalgia', 'muscle spasms', 'arthralgia']",6
Find all gastrointestinal adverse events from forteo,organ_specific,forteo,gastrointestinal,"['vomiting', 'dyspepsia', 'gastritis', 'constipation', 'gastrointestinal disorder', 'nausea']",6
Show neurological toxicity of forteo,organ_specific,forteo,neurological,"['dizziness', 'headache', 'vertigo']",3
What dermatological side effects does forteo cause?,organ_specific,forteo,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'generalized urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder']",7
What are the respiratory risks of taking forteo?,organ_specific,forteo,respiratory,"['acute dyspnea', 'cough', 'pneumonia', 'cough increased']",4
What are the renal risks of taking forteo?,organ_specific,forteo,renal,"['urinary tract disorder', 'urinary incontinence', 'calculus urinary', 'nephrolithiasis', 'renal failure']",5
List melatonin's effects on the gastrointestinal system,organ_specific,melatonin,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'gastrointestinal sounds abnormal', 'abdominal discomfort', 'gastrointestinal tract irritation', 'abdominal pain upper', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'gastric disorder', 'abdominal pain']",12
List melatonin's effects on the cardiovascular system,organ_specific,melatonin,cardiovascular,"['angina pectoris', 'cardiac disorder', 'hypertension', 'palpitations']",4
List melatonin's effects on the psychiatric system,organ_specific,melatonin,psychiatric,"['insomnia', 'anxiety', 'terminal insomnia', 'agitation']",4
Find all musculoskeletal adverse events from melatonin,organ_specific,melatonin,musculoskeletal,"['muscle spasms', 'arthralgia']",2
What are the dermatological risks of taking melatonin?,organ_specific,melatonin,dermatological,"['dermatitis', 'eczema', 'pruritus', 'hand dermatitis', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder', 'dry skin', 'rash generalised', 'pruritus generalised', 'psoriasis']",11
What neurological side effects does melatonin cause?,organ_specific,melatonin,neurological,"['dizziness', 'headache', 'migraine', 'vertigo', 'vertigo positional']",5
What immunological side effects does melatonin cause?,organ_specific,melatonin,immunological,['hypersensitivity'],1
Show hematological toxicity of melatonin,organ_specific,melatonin,hematological,"['thrombocytopenia', 'leukopenia']",2
Show renal toxicity of melatonin,organ_specific,melatonin,renal,"['proteinuria', 'urinary tract disorder']",2
What hepatobiliary side effects does melatonin cause?,organ_specific,melatonin,hepatobiliary,"['liver function test abnormal', 'hepatic enzyme increased', 'hepatobiliary disease']",3
What are the ocular risks of taking melatonin?,organ_specific,melatonin,ocular,['vision blurred'],1
What are the gastrointestinal risks of taking perhexiline?,organ_specific,perhexiline,gastrointestinal,"['vomiting', 'nausea', 'abdominal pain', 'gastrointestinal pain']",4
What neurological side effects does perhexiline cause?,organ_specific,perhexiline,neurological,"['dizziness', 'ataxia', 'headache', 'polyneuropathy', 'tremor', 'neuropathy peripheral']",6
What ocular side effects does perhexiline cause?,organ_specific,perhexiline,ocular,"['diplopia', 'optic neuritis']",2
What are the dermatological risks of taking perhexiline?,organ_specific,perhexiline,dermatological,"['dermatitis', 'urticaria', 'rash']",3
What are the hepatobiliary risks of taking perhexiline?,organ_specific,perhexiline,hepatobiliary,"['hepatitis viral', 'hepatocellular injury', 'hepatitis', 'liver injury']",4
Show psychiatric toxicity of perhexiline,organ_specific,perhexiline,psychiatric,['insomnia'],1
Find all gastrointestinal adverse events from triptorelin,organ_specific,triptorelin,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",8
What immunological side effects does triptorelin cause?,organ_specific,triptorelin,immunological,"['hypersensitivity', 'anaphylactic shock']",2
What musculoskeletal side effects does triptorelin cause?,organ_specific,triptorelin,musculoskeletal,"['joint swelling', 'cramp muscle', 'bone cancer metastatic', 'myalgia', 'joint stiffness', 'bone pain', 'muscle spasms', 'arthralgia']",8
List triptorelin's effects on the cardiovascular system,organ_specific,triptorelin,cardiovascular,"['hypotension', 'cardiovascular disorder', 'embolism', 'hypertension', 'palpitations', 'deep vein thrombosis', 'myocardial infarction']",7
What ocular side effects does triptorelin cause?,organ_specific,triptorelin,ocular,"['vision blurred', 'conjunctivitis']",2
Show respiratory toxicity of triptorelin,organ_specific,triptorelin,respiratory,['cough'],1
Show psychiatric toxicity of triptorelin,organ_specific,triptorelin,psychiatric,"['depression', 'anxiety', 'insomnia', 'confusional state']",4
Show endocrine toxicity of triptorelin,organ_specific,triptorelin,endocrine,"['diabetes mellitus', 'hormone-dependent prostate cancer', 'pituitary infarction', 'pituitary haemorrhage', 'pituitary tumour benign', 'pituitary adenoma', 'glucose increased', 'blood glucose increased', 'pituitary apoplexy']",9
What are the neurological risks of taking triptorelin?,organ_specific,triptorelin,neurological,"['dizziness', 'headache', 'paralysis', 'iiird nerve paralysis', 'vertigo', 'neuropathy peripheral', 'neuropathy']",7
Find all dermatological adverse events from triptorelin,organ_specific,triptorelin,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder', 'alopecia', 'dermatitis bullous']",8
What renal side effects does triptorelin cause?,organ_specific,triptorelin,renal,"['blood creatinine increased', 'urinary tract infection', 'urinary tract disorder', 'urinary retention']",4
What hepatobiliary side effects does triptorelin cause?,organ_specific,triptorelin,hepatobiliary,['hepatic function abnormal'],1
Show otic toxicity of triptorelin,organ_specific,triptorelin,otic,['tinnitus'],1
What gastrointestinal side effects does telmisartan cause?,organ_specific,telmisartan,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal discomfort', 'gastritis', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",10
What immunological side effects does telmisartan cause?,organ_specific,telmisartan,immunological,"['hypersensitivity', 'anaphylactic shock']",2
Find all cardiovascular adverse events from telmisartan,organ_specific,telmisartan,cardiovascular,"['cardiac disorder', 'hypotension', 'cardiovascular disorder', 'hypertension worsened', 'tachycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'bradycardia', 'palpitations', 'cardiac failure congestive', 'arrhythmia', 'myocardial infarction']",13
What are the psychiatric risks of taking telmisartan?,organ_specific,telmisartan,psychiatric,"['depression', 'anxiety', 'insomnia', 'anxiety depression']",4
Show musculoskeletal toxicity of telmisartan,organ_specific,telmisartan,musculoskeletal,"['tendonitis', 'bone disorder', 'tendon pain', 'rhabdomyolysis', 'cramp muscle', 'myalgia', 'muscle contractions involuntary', 'muscle spasms', 'arthralgia']",9
Show respiratory toxicity of telmisartan,organ_specific,telmisartan,respiratory,"['upper respiratory tract infection', 'bronchospasm', 'asthma', 'cough', 'pneumonia']",5
What are the ocular risks of taking telmisartan?,organ_specific,telmisartan,ocular,"['abnormal vision', 'conjunctivitis']",2
Show renal toxicity of telmisartan,organ_specific,telmisartan,renal,"['urinary tract disorder', 'cystitis', 'renal impairment', 'urinary tract infection', 'blood creatinine increased', 'cystitis noninfective', 'renal failure acute', 'renal failure']",8
List telmisartan's effects on the dermatological system,organ_specific,telmisartan,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'skin ulcer', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder', 'toxic skin eruption', 'dry skin']",10
What are the neurological risks of taking telmisartan?,organ_specific,telmisartan,neurological,"['dizziness', 'migraine aggravated', 'headache', 'migraine', 'vertigo', 'autonomic neuropathy', 'neuropathy peripheral']",7
What are the hepatobiliary risks of taking telmisartan?,organ_specific,telmisartan,hepatobiliary,"['hepatocellular injury', 'liver disorder', 'hepatic enzyme increased', 'hepatobiliary disease', 'foetor hepaticus', 'hepatic function abnormal']",6
Find all hematological adverse events from telmisartan,organ_specific,telmisartan,hematological,['thrombocytopenia'],1
What are the otic risks of taking telmisartan?,organ_specific,telmisartan,otic,['tinnitus'],1
What endocrine side effects does telmisartan cause?,organ_specific,telmisartan,endocrine,['diabetes mellitus'],1
Find all cardiovascular adverse events from nesiritide,organ_specific,nesiritide,cardiovascular,"['hypotension', 'ventricular arrhythmia', 'bradycardia', 'hypertension', 'hypotension symptomatic', 'hypotension asymptomatic', 'cardiac failure', 'arrhythmia']",8
List nesiritide's effects on the endocrine system,organ_specific,nesiritide,endocrine,['diabetes mellitus'],1
What neurological side effects does nesiritide cause?,organ_specific,nesiritide,neurological,"['dizziness', 'headache']",2
What dermatological side effects does nesiritide cause?,organ_specific,nesiritide,dermatological,"['dermatitis', 'pruritus', 'rash']",3
What are the immunological risks of taking nesiritide?,organ_specific,nesiritide,immunological,['hypersensitivity'],1
What are the gastrointestinal risks of taking nesiritide?,organ_specific,nesiritide,gastrointestinal,"['vomiting', 'nausea']",2
What renal side effects does nesiritide cause?,organ_specific,nesiritide,renal,"['blood creatinine increased', 'renal impairment', 'renal failure', 'creatinine increased']",4
Find all gastrointestinal adverse events from amoxapine,organ_specific,amoxapine,gastrointestinal,"['vomiting', 'dyspepsia', 'epigastric distress', 'constipation', 'gastrointestinal pain', 'abdominal pain', 'nausea']",7
Find all dermatological adverse events from amoxapine,organ_specific,amoxapine,dermatological,"['dermatitis', 'pruritus', 'tardive dyskinesia', 'urticaria', 'rash', 'alopecia']",6
Show neurological toxicity of amoxapine,organ_specific,amoxapine,neurological,"['dizziness', 'ataxia', 'headache', 'tremor']",4
List amoxapine's effects on the psychiatric system,organ_specific,amoxapine,psychiatric,"['agitation', 'hallucination', 'hypomania', 'insomnia', 'confusional state']",5
What cardiovascular side effects does amoxapine cause?,organ_specific,amoxapine,cardiovascular,"['arrhythmia supraventricular', 'hypotension', 'tachycardia', 'hypertension', 'palpitations', 'atrial arrhythmia', 'block heart', 'myocardial infarction']",8
Show hepatobiliary toxicity of amoxapine,organ_specific,amoxapine,hepatobiliary,"['hepatitis', 'jaundice']",2
List amoxapine's effects on the endocrine system,organ_specific,amoxapine,endocrine,['inappropriate antidiuretic hormone secretion'],1
What are the hematological risks of taking amoxapine?,organ_specific,amoxapine,hematological,"['thrombocytopenia', 'leukopenia']",2
What are the otic risks of taking amoxapine?,organ_specific,amoxapine,otic,['tinnitus'],1
List amoxapine's effects on the immunological system,organ_specific,amoxapine,immunological,['vasculitis'],1
Show renal toxicity of amoxapine,organ_specific,amoxapine,renal,['urinary retention'],1
Find all ocular adverse events from amoxapine,organ_specific,amoxapine,ocular,['vision blurred'],1
What gastrointestinal side effects does cefotaxime cause?,organ_specific,cefotaxime,gastrointestinal,"['vomiting', 'colitis', 'pseudomembranous colitis', 'enterocolitis', 'gastrointestinal pain', 'abdominal pain', 'nausea']",7
What immunological side effects does cefotaxime cause?,organ_specific,cefotaxime,immunological,"['hypersensitivity', 'anaphylactic shock']",2
What cardiovascular side effects does cefotaxime cause?,organ_specific,cefotaxime,cardiovascular,['arrhythmia'],1
Find all respiratory adverse events from cefotaxime,organ_specific,cefotaxime,respiratory,['bronchospasm'],1
What hepatobiliary side effects does cefotaxime cause?,organ_specific,cefotaxime,hepatobiliary,"['hepatitis', 'traumatic liver injury', 'liver injury', 'jaundice', 'cholestasis', 'hepatic function abnormal']",6
Find all dermatological adverse events from cefotaxime,organ_specific,cefotaxime,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'rash', 'dermatitis bullous']",5
List cefotaxime's effects on the neurological system,organ_specific,cefotaxime,neurological,['headache'],1
Show hematological toxicity of cefotaxime,organ_specific,cefotaxime,hematological,"['thrombocytopenia', 'neutropenia', 'leukopenia']",3
What renal side effects does cefotaxime cause?,organ_specific,cefotaxime,renal,"['function kidney decreased', 'renal impairment', 'renal failure', 'nephropathy toxic']",4
Find all psychiatric adverse events from griseofulvin,organ_specific,griseofulvin,psychiatric,"['insomnia', 'confusional state']",2
Show neurological toxicity of griseofulvin,organ_specific,griseofulvin,neurological,"['neuropathy peripheral', 'dizziness', 'headache', 'neuropathy']",4
What dermatological side effects does griseofulvin cause?,organ_specific,griseofulvin,dermatological,"['dermatitis', 'urticaria', 'rash']",3
What are the gastrointestinal risks of taking griseofulvin?,organ_specific,griseofulvin,gastrointestinal,"['vomiting', 'dyspepsia', 'epigastric distress', 'nausea', 'gastrointestinal haemorrhage']",5
Find all hepatobiliary adverse events from griseofulvin,organ_specific,griseofulvin,hepatobiliary,"['hepatitis', 'hepatic enzyme increased']",2
Show immunological toxicity of griseofulvin,organ_specific,griseofulvin,immunological,"['hypersensitivity', 'systemic lupus erythematosus']",2
Show hematological toxicity of griseofulvin,organ_specific,griseofulvin,hematological,['leukopenia'],1
List griseofulvin's effects on the renal system,organ_specific,griseofulvin,renal,"['proteinuria', 'nephrosis', 'nephrotic syndrome']",3
Find all gastrointestinal adverse events from pitavastatin,organ_specific,pitavastatin,gastrointestinal,"['dyspepsia', 'nausea', 'abdominal discomfort', 'constipation', 'gastrointestinal pain', 'abdominal pain']",6
What are the musculoskeletal risks of taking pitavastatin?,organ_specific,pitavastatin,musculoskeletal,"['rhabdomyolysis', 'myalgia', 'muscle spasms', 'arthralgia']",4
What are the psychiatric risks of taking pitavastatin?,organ_specific,pitavastatin,psychiatric,"['insomnia', 'confusional state']",2
List pitavastatin's effects on the neurological system,organ_specific,pitavastatin,neurological,"['dizziness', 'headache']",2
What are the dermatological risks of taking pitavastatin?,organ_specific,pitavastatin,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'rash']",4
Find all hepatobiliary adverse events from pitavastatin,organ_specific,pitavastatin,hepatobiliary,"['hepatitis', 'hepatic failure', 'jaundice']",3
Find all immunological adverse events from pitavastatin,organ_specific,pitavastatin,immunological,['hypersensitivity'],1
What are the renal risks of taking pitavastatin?,organ_specific,pitavastatin,renal,['renal failure acute'],1
What are the psychiatric risks of taking glucose?,organ_specific,glucose,psychiatric,"['agitation', 'confusional state']",2
Find all neurological adverse events from glucose,organ_specific,glucose,neurological,"['dizziness', 'headache']",2
Find all cardiovascular adverse events from glucose,organ_specific,glucose,cardiovascular,"['pulmonary embolism', 'venous thrombosis', 'tachycardia', 'hypertension', 'cardiac failure congestive']",5
What respiratory side effects does glucose cause?,organ_specific,glucose,respiratory,['respiratory failure'],1
Find all immunological adverse events from glucose,organ_specific,glucose,immunological,"['hypersensitivity', 'anaphylactic shock']",2
What gastrointestinal side effects does nefazodone cause?,organ_specific,nefazodone,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'colitis', 'gastritis', 'proctocolitis', 'constipation', 'gastrointestinal pain', 'abdominal distension', 'colitis ulcerative', 'abdominal pain', 'gastrointestinal haemorrhage']",12
What dermatological side effects does nefazodone cause?,organ_specific,nefazodone,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'vesiculobullous rash', 'rash', 'alopecia', 'photosensitivity reaction', 'dry skin', 'rash pustular', 'rash maculo-papular', 'dermatitis bullous']",12
What are the immunological risks of taking nefazodone?,organ_specific,nefazodone,immunological,"['hypersensitivity', 'anaphylactic shock']",2
What cardiovascular side effects does nefazodone cause?,organ_specific,nefazodone,cardiovascular,"['hypotension', 'tachycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'bradycardia', 'palpitations', 'sinus bradycardia', 'cardiac failure congestive']",9
What are the psychiatric risks of taking nefazodone?,organ_specific,nefazodone,psychiatric,"['agitation', 'suicidal ideation', 'anxiety', 'hallucination', 'insomnia', 'confusional state']",6
List nefazodone's effects on the musculoskeletal system,organ_specific,nefazodone,musculoskeletal,"['muscle twitching', 'rhabdomyolysis', 'muscle spasms', 'cramp muscle', 'muscle stiffness', 'myalgia', 'muscle relaxant therapy', 'arthralgia']",8
What are the respiratory risks of taking nefazodone?,organ_specific,nefazodone,respiratory,"['pneumonia', 'cough', 'asthma', 'cough increased']",4
List nefazodone's effects on the neurological system,organ_specific,nefazodone,neurological,"['dizziness', 'ataxia', 'headache', 'migraine', 'tonic-clonic seizures', 'vertigo', 'tremor']",7
List nefazodone's effects on the ocular system,organ_specific,nefazodone,ocular,"['glaucoma', 'keratoconjunctivitis', 'vision blurred', 'abnormal vision', 'diplopia', 'night blindness', 'conjunctivitis', 'angle closure glaucoma']",8
What renal side effects does nefazodone cause?,organ_specific,nefazodone,renal,"['cystitis', 'urinary retention', 'urinary incontinence', 'urinary tract infection', 'cystitis noninfective', 'nephrolithiasis', 'oliguria', 'calculus of kidney']",8
Show otic toxicity of nefazodone,organ_specific,nefazodone,otic,"['deafness', 'tinnitus']",2
Find all hepatobiliary adverse events from nefazodone,organ_specific,nefazodone,hepatobiliary,"['hepatic necrosis', 'hepatitis', 'hepatic failure', 'liver function test abnormal']",4
List nefazodone's effects on the hematological system,organ_specific,nefazodone,hematological,"['thrombocytopenia', 'leukopenia']",2
Find all gastrointestinal adverse events from nicorandil,organ_specific,nicorandil,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'large intestinal ulcer', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",8
Show cardiovascular toxicity of nicorandil,organ_specific,nicorandil,cardiovascular,"['hypotension', 'tachycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'palpitations', 'arrhythmia', 'myocardial infarction']",8
Show hepatobiliary toxicity of nicorandil,organ_specific,nicorandil,hepatobiliary,"['hepatocellular injury', 'hepatitis', 'liver disorder', 'jaundice', 'foetor hepaticus', 'cholestasis']",6
List nicorandil's effects on the ocular system,organ_specific,nicorandil,ocular,"['diplopia', 'conjunctivitis']",2
Show neurological toxicity of nicorandil,organ_specific,nicorandil,neurological,"['dizziness', 'headache', 'vertigo']",3
Find all dermatological adverse events from nicorandil,organ_specific,nicorandil,dermatological,"['dermatitis', 'pruritus', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder']",5
What hematological side effects does nicorandil cause?,organ_specific,nicorandil,hematological,['thrombocytopenia'],1
List nicorandil's effects on the otic system,organ_specific,nicorandil,otic,['tinnitus'],1
Show musculoskeletal toxicity of nicorandil,organ_specific,nicorandil,musculoskeletal,['myalgia'],1
Find all respiratory adverse events from nicorandil,organ_specific,nicorandil,respiratory,"['cough', 'cough increased']",2
Show psychiatric toxicity of nicorandil,organ_specific,nicorandil,psychiatric,['insomnia'],1
Show gastrointestinal toxicity of testosterone,organ_specific,testosterone,gastrointestinal,"['vomiting', 'abdominal cramps', 'nausea', 'abdominal pain upper', 'gastrointestinal pain', 'gastrointestinal disorder', 'gastrointestinal hypomotility', 'abdominal pain', 'gastrointestinal haemorrhage', 'abdominal symptom']",10
Show dermatological toxicity of testosterone,organ_specific,testosterone,dermatological,"['vesiculobullous rash', 'seborrhoeic dermatitis', 'dry skin', 'dermatitis', 'eczema', 'pruritus', 'urticaria', 'pruritus genital', 'allergic contact dermatitis', 'unspecified disorder of skin and subcutaneous tissue', 'application site pruritus', 'dermatitis acneiform', 'dermatitis bullous', 'skin irritation', 'dermatitis atopic', 'skin disorder', 'application site rash', 'rash papular', 'rash', 'dermatitis contact', 'alopecia', 'androgenetic alopecia', 'rash pustular']",23
