query,query_type,side_effect,ground_truth_drugs,num_drugs
Which drugs cause type iv hypersensitivity reaction?,class_based,type iv hypersensitivity reaction,"['gadopentetate', 'budesonide', 'hepatitis', 'beclomethasone', 'ciclesonide', 'mometasone', 'gd-dtpa', 'procarbazine', 'amphotericin', 'lacosamide', 'bupropion', 'maraviroc', 'amorolfine', 'fluticasone']",14
List medications that can lead to traumatic liver injury,class_based,traumatic liver injury,"['duloxetine', 'trabectedin', 'nafarelin', 'ambrisentan', 'asenapine', 'terbinafine', 'warfarin', 'glipizide', 'cimetidine', 'temozolomide', 'amiodarone', 'dronedarone', 'bosutinib', 'cefotaxime', 'captopril', 'cytarabine', 'nalmefene', 'zileuton', 'valproate', 'clopidogrel', 'phenytoin', 'metronidazole', 'posaconazole', 'clozapine', 'acarbose', 'tizanidine', 'febuxostat', 'nevirapine', 'leflunomide', 'riluzole', 'v', 'leuprorelin', 'bosentan', 'carvedilol', 'voriconazole', 'regorafenib', 'flutamide', 'telithromycin', 'tigecycline', 'fty720', 'enflurane', 'isoflurane', 'montelukast', 'propericiazine', 'zafirlukast', 'histrelin', 'acetaminophen', 'propylthiouracil']",48
What drugs are associated with hyperventilation?,class_based,hyperventilation,"['mycophenolate', 'baclofen', 'bupropion', 'gadobenate', 'fentanyl', 'sibutramine', 'venlafaxine', 'olanzapine', 'testosterone', 'donepezil', 'cyproterone', 'fluvoxamine', 'pergolide', 'hydromorphone', 'almotriptan', 'pralidoxime', 'reboxetine', 'mafenide', 'sevoflurane', 'risperidone', 'alprazolam', 'nitroglycerin', 'cetirizine', 'tobramycin', 'zolmitriptan', 'doxapram', 'estazolam', 'pentamidine', 'rivastigmine', 'ciprofloxacin', 'carboprost', 'amphotericin', 'pregabalin', 'buspirone', 'clozapine', 'nefazodone', 'dipyridamole', 'l-dmp', 'riluzole', 'gabapentin', 'doxorubicin', 'lithium', 'clomipramine', 'paliperidone', 'glat', 'tiagabine', 'paroxetine', 'progesterone', 'pramipexole', 'buprenorphine', 'midazolam', 'eletriptan', 'etomidate', 'tolcapone', 'penicillin', 'mannitol', 'bumetanide', 'citalopram', 'tramadol', 'bortezomib', 'flumazenil', 'ocrh', 'flurbiprofen', 'fosphenytoin', 'cidofovir', 'ferumoxytol', 'copolymer', 'propofol', 'busulfan', 'frovatriptan', 'fluoxetine', 'lutalyse', 'diazepam', 'lansoprazole', 'diclofenac', 'quetiapine', 'sodium', 'oxycodone', 'phenytoin', 'sertraline', 'lorazepam', 'mycophenolic', 'niacin', 'lamotrigine', 'moxifloxacin', 'ge-132', 'adenosine', 'zaleplon', 'rabeprazole', 'salbutamol', 'gatifloxacin']",91
Which drugs cause night blindness?,class_based,night blindness,"['paroxetine', 'chloroquine', 'retinoic', 'quinidine', 'carteolol', 'topiramate', 'hydroxychloroquine', 'diclofenac', 'citalopram', 'colestyramine', 'pregabalin', 'k779', 'nefazodone', 'bexarotene', 'l-dmp', 'fluphenazine', 'voriconazole', 'varenicline', 'acitretin', 'clomipramine', 'deferoxamine']",21
What drugs are associated with sedation?,class_based,sedation,"['hydromorphone', 'oxycodone', 'nitrazepam', 'zopiclone', 'lorazepam', 'buprenorphine', 'papaverine', 'midazolam', 'morphine', 'lidocaine', 'ropinirole', 'trazodone']",12
What drugs are associated with personality disorder?,class_based,personality disorder,"['bcnu', 'mycophenolate', 'baclofen', 'deprenyl', 'vigabatrin', 'metoprolol', 'tiagabine', 'memantine', 'progesterone', 'pramipexole', 'ritonavir', 'betaine', 'frovatriptan', 'fluoxetine', 'sibutramine', 'oxcarbazepine', 'rivastigmine', 'rasagiline', 'olanzapine', 'topiramate', 'ketoprofen', 'dextrorphan', 'citalopram', 'testosterone', 'donepezil', 'cyproterone', 'pergolide', 'valproate', 'oxycodone', 'cevimeline', 'phenytoin', 'zolpidem', 'pregabalin', 'k779', 'fosphenytoin', 'riluzole', 'cidofovir', 'leuprorelin', 'reboxetine', 'gabapentin', 'lamotrigine', 'methylphenidate', 'moxifloxacin', 'gadodiamide', 'levetiracetam', 'ziprasidone', 'ropinirole', 'modafinil']",48
List medications that can lead to effusion,class_based,effusion,"['bcnu', 'ioxaglate', 'rapamycin', 'oxytocin', 'topiramate', 'methylene', 'ponatinib', 'doxorubicin', 'iopromide', 'deferiprone', 'docetaxel']",11
Show me drugs known to cause micturition urgency,class_based,micturition urgency,"['mycophenolate', 'duloxetine', 'deprenyl', 'gadofosveset', 'copolymer', 'tiagabine', 'paroxetine', 'bupropion', 'canagliflozin', 'gadobenate', 'lasofoxifene', 'fentanyl', 'mirtazapine', 'zolmitriptan', 'zonisamide', 'valrubicin', 'fluoxetine', 'aripiprazole', 'conjugated', 'venlafaxine', 'estazolam', 'cas', 'rivastigmine', 'olanzapine', 'trospium', 'topiramate', 'bethanechol', 'gadobutrol', 'pge1', '5-asa', 'lansoprazole', 'nilotinib', 'citalopram', 'testosterone', 'tramadol', 'midodrine', 'atomoxetine', 'donepezil', 'pentosan', 'nuvaring', 'vandetanib', 'fluvoxamine', 'trazodone', 'nalbuphine', 'ciprofloxacin', 'everolimus', 'hydroxybutyrate', 'naratriptan', 'pregabalin', 'clozapine', 'iopromide', 'nefazodone', 'bexarotene', 'forteo', 'acamprosate', 'tizanidine', 'febuxostat', 'degarelix', 'l-dmp', 'riluzole', 'v', 'leuprorelin', 'felodipine', 'gadopentetate', 'gabapentin', 'lamotrigine', 'pilocarpine', 'oxybutynin', 'lenalidomide', 'adenosine', 'zaleplon', 'gd-dtpa', 'bicalutamide', 'glat', 'atorvastatin', 'rasagiline']",76
Show me drugs known to cause dystonia,class_based,dystonia,"['metoclopramide', 'prochlorperazine', 'thioridazine', 'amisulpride', 'madopar', 'buspirone', 'fluphenazine', 'loxapine', 'lioh', 'sumatriptan', 'domperidone', 'lithium', 'acetaminophen', 'quinidine', 'ondansetron']",15
What drugs are associated with tooth disorder?,class_based,tooth disorder,"['minocycline', 'vigabatrin', 'bupropion', 'gliclazide', 'betaine', 'fentanyl', 'repaglinide', 'sibutramine', 'temozolomide', 'budesonide', 'ibandronate', 'ribavirin', 'nizatidine', 'fluvoxamine', 'pioglitazone', 'leflunomide', 'pilocarpine', 'clonazepam', 'chlorhexidine', 'indapamide', 'valdecoxib', 'cefpodoxime', 'risperidone', 'naproxen', 'metrodin', 'memantine', 'vacv', 'doxazosin', 'rivastigmine', 'estradiol', 'risedronate', 'valproate', 'cevimeline', 'pregabalin', 'k779', 'nefazodone', 'triamcinolone', 'boceprevir', 'riluzole', 'rescinnamine', 'gabapentin', 'miconazole', 'trovafloxacin', 'diltiazem', 'clomipramine', 'levetiracetam', 'ziprasidone', 'fenofibrate', 'deprenyl', 'amphetamine', 'paroxetine', 'progesterone', 'pramipexole', 'levonorgestrel', 'celecoxib', 'eletriptan', 'rifapentine', 'sildenafil', 'topiramate', 'tolcapone', 'tacrolimus', 'citalopram', 'tramadol', 'saquinavir', 'doxycycline', 'nicotine', 'ofloxacin', 'insulin', 'v', 'fluvastatin', 'sparfloxacin', 'isosorbide-5-mononitrate', 'orlistat', 'ropinirole', 'modafinil', 'thalidomide', 'entacapone', 'tamsulosin', 'articaine', 'forteo', 'lansoprazole', 'lamotrigine', 'imiquimod', 'rabeprazole']",84
Which drugs cause rectal tenesmus?,class_based,rectal tenesmus,"['indomethacin', 'copolymer', 'octreotide', 'lovaza', 'ritonavir', 'celecoxib', 'rifapentine', 'doxazosin', 'rivastigmine', 'oxaliplatin', 'diazepam', 'anthracycline', 'ketoprofen', '5-asa', 'lansoprazole', 'tegaserod', 'gadoversetamide', 'ropivacaine', 'fluvoxamine', 'ciprofloxacin', 'phenytoin', 'cevimeline', 'sertraline', 'zolpidem', 'posaconazole', 'ropinirole', 'pregabalin', 'k779', 'iopromide', 'moclobemide', 'fosphenytoin', 'bexarotene', 'dipyridamole', 'cefpodoxime', 'riluzole', 'lomitapide', 'reboxetine', 'isosorbide-5-mononitrate', 'imiquimod', 'acitretin', 'doxorubicin', 'valdecoxib', 'glutamine', 'valrubicin', 'rifaximin', 'glat', 'atorvastatin']",47
Show me drugs known to cause road traffic accident,class_based,road traffic accident,"['ifosfamide', 'streptozotocin', 'topiramate', 'lenalidomide', '4-pba', 'rotigotine', 'amphotericin', 'pramipexole', 'phenylbutyric', 'posaconazole', '5-azacytidine', 'citalopram', 'gemcitabine', 'aripiprazole', 'zonisamide', 'ropinirole', 'alprazolam']",17
What drugs are associated with drug level increased?,class_based,drug level increased,"['mycophenolate', 'moxifloxacin', 'carvedilol', 'fk463', 'ganciclovir', 'tacrolimus', 'pregabalin', 'citalopram', 'levetiracetam', 'ropinirole', 'valproate']",11
Show me drugs known to cause emotional disturbance nos,class_based,emotional disturbance nos,"['phenobarbital', 'valganciclovir', 'ganciclovir', 'estradiol', 'propafenone', 'tramadol', 'bromazepam', 'mefloquine', 'irbesartan', 'primidone', 'desmopressin']",11
List medications that can lead to cystitis,class_based,cystitis,"['mycophenolate', 'tiaprofenic', 'afatinib', 'ketorolac', 'rofecoxib', 'bupropion', 'gliclazide', 'itraconazole', 'aripiprazole', 'formoterol', 'sibutramine', 'conjugated', 'venlafaxine', 'piroxicam', 'olanzapine', 'ibandronate', 'cilostazol', 'clofazimine', 'donepezil', 'vandetanib', 'fluvoxamine', 'pergolide', 'mefenamic', 'medroxyprogesterone', 'clotrimazole', 'leflunomide', 'goserelin', 'oxybutynin', 'pantoprazole', 'clonazepam', 'indapamide', 'valdecoxib', 'raloxifene', 'betaxolol', 'melphalan', 'risperidone', 'naproxen', 'solifenacin', 'alosetron', 'empagliflozin', 'metrodin', 'memantine', 'cetirizine', 'canagliflozin', 'ritonavir', 'glycopyrrolate', 'candesartan', 'retinoic', 'zolmitriptan', 'doxazosin', 'rivastigmine', 'cabazitaxel', 'etoricoxib', 'estradiol', 'clindamycin', 'bisoprolol', 'risedronate', 'valproate', 'clopidogrel', 'ciprofloxacin', 'bimatoprost', 'cevimeline', 'zolpidem', 'pregabalin', 'k779', 'nefazodone', 'vinflunine', 'triamcinolone', 'l-dmp', 'mirabegron', 'gabapentin', 'fenoprofen', 'bleomycin', 'doxorubicin', 'diltiazem', 'clomipramine', 'paliperidone', 'valrubicin', 'fenofibrate', 'deprenyl', 'tiagabine', 'paroxetine', 'progesterone', 'pramipexole', 'a77', 'levonorgestrel', 'celecoxib', 'rifapentine', 'sildenafil', 'topiramate', '5-asa', 'tacrolimus', 'citalopram', 'tramadol', 'ogen', 'nuvaring', 'nicotine', 'metronidazole', 'gefitinib', 'naratriptan', 'zidovudine', 'flurbiprofen', 'temsirolimus', 'sumatriptan', 'ofloxacin', 'chlorambucil', 'insulin', 'hexaminolevulinate', 'lenalidomide', 'cyclophosphamide', 'zopiclone', 'milnacipran', 'ibuprofen', 'ropinirole', 'modafinil', 'bromcresol', 'copolymer', 'octreotide', 'ketotifen', 'mirtazapine', 'salmon', 'busulfan', 'fluoxetine', 'eprosartan', 'galantamine', 'dihydroergotamine', 'methotrexate', 'diclofenac', 'omeprazole', 'quetiapine', 'telmisartan', 'etodolac', 'hydroxybutyrate', 'sertraline', 'lorazepam', 'ketamine', 'tizanidine', 'lamotrigine', 'bosentan', 'moxifloxacin', 'flutamide', 'lisinopril', 'revasc', 'zaleplon', 'rabeprazole', 'esomeprazole', 'udca', 'oxaprozin', 'nafarelin', 'atorvastatin', 'thiotepa']",151
What drugs are associated with oropharyngeal swelling?,class_based,oropharyngeal swelling,"['hydromorphone', 'duloxetine', 'medroxyprogesterone', 'gadolinium', 'ipratropium', 'fluticasone/salmeterol', 'zanamivir', 'buprenorphine', 'ly146032', 'salbutamol', 'ofloxacin', 'nifedipine', 'fluticasone']",13
Show me drugs known to cause corneal deposits,class_based,corneal deposits,"['indomethacin', 'prochlorperazine', 'ketorolac', 'lanreotide', 'olopatadine', 'flecainide', 'amiodarone', 'trifluoperazine', 'hydroxychloroquine', 'diclofenac', 'vandetanib', 'nepafenac', 'pegaptanib', 'ciprofloxacin', 'bimatoprost', 'rifabutin', 'isopropyl', 'unoprostone', 'moxifloxacin', 'gatifloxacin']",20
List medications that can lead to uterine haemorrhage,class_based,uterine haemorrhage,"['atorvastatin', 'nafarelin', 'metrodin', 'pramipexole', 'toremifene', 'lasofoxifene', 'levonorgestrel', 'aripiprazole', 'tadalafil', 'fluoxetine', 'conjugated', 'venlafaxine', 'tolcapone', 'estradiol', 'tacrolimus', 'atosiban', 'clomiphene', 'cyproterone', 'pergolide', 'misoprostol', 'drospirenone', 'etodolac', 'cevimeline', 'carboprost', 'oestrogen', 'pregabalin', 'k779', 'flurbiprofen', 'megestrol', 'riluzole', 'v', 'goserelin', 'voriconazole', 'zopiclone', 'rabeprazole', 'raloxifene', 'clomipramine', 'ziprasidone', 'dasatinib', 'ropinirole']",40
Which drugs cause vasculitis?,class_based,vasculitis,"['minocycline', 'indomethacin', 'ketorolac', 'ramipril', 'ganciclovir', 'maraviroc', 'itraconazole', 'repaglinide', 'prednisone', 'piroxicam', 'irbesartan-hydrochlorothiazide', 'amiodarone', 'bromocriptine', 'dronedarone', 'cortisol', 'cerivastatin', 'losartan', 'ribavirin', 'nizatidine', 'acyclovir', 'fluvoxamine', 'pergolide', 'mefenamic', 'nitrofurantoin', 'imatinib', 'iopromide', 'gemfibrozil', 'leflunomide', 'sulfasalazine', 'methylphenidate', 'acitretin', 'montelukast', 'felbamate', 'indapamide', 'pentostatin', 'melphalan', 'perindoprilat', 'naproxen', 'allopurinol', 'verapamil', 'icodextrin', 'prednisolone', 'candesartan', 'indinavir', 'retinoic', 'ertapenem', 'benicar-hct', 'pentamidine', 'rivastigmine', 'prazosin', 'd-penicillamine', 'arsenic', 'tamoxifen', 'apas', 'bisoprolol', 'captopril', 'furosemide', 'valproate', 'clopidogrel', 'ciprofloxacin', 'ifosfamide', 'balsalazide', 'cevimeline', 'pregabalin', 'k779', 'clozapine', 'vinflunine', 'triamcinolone', 'lamivudine', 'ranitidine', 'olmesartan', 'vitrum', 'diltiazem', 'lercanidipine', 'hepatitis', 'lmwh', 'celecoxib', 'terbinafine', 'valsartan', 'cas', 'fosinopril', 'trandolapril', 'ezetimibe', 'vancocine', 'procainamide', 'nabumetone', 'chlorthalidone', 'pravastatin', 'dexamethasone', 'irbesartan', 'azithromycin', 'fosinoprilat', 'bortezomib', 'spironolactone', 'posaconazole', 'zidovudine', 'flurbiprofen', 'meloxicam', 'sumatriptan', 'gemcitabine', 'rifampicin', 'ofloxacin', 'amoxapine', 'cancidas', 'fluvastatin', 'methyclothiazide', 'lomefloxacin', 'sparfloxacin', 'azathioprine', 'cyclophosphamide', 'ramiprilat', 'vemurafenib', 'ibuprofen', 'norfloxacin', 'hydrochlorothiazide', 'thiazide', 'perindopril', 'warfarin', 'quinidine', 'fluoxetine', 'polythiazide', 'simvastatin', 'methotrexate', 'diclofenac', 'lovastatin', 'hydroflumethiazide', 'sodium', 'fluticasone', 'trazodone', 'ixabepilone', 'etodolac', 'sertraline', 'hydralazine', 'amlodipine', 'glimepiride', 'lamotrigine', 'ge-132', 'glibenclamide', 'lisinopril', 'trans', 'isoniazid', 'zafirlukast', 'methylprednisolone', 'oxaprozin', 'carbamazepine', 'propylthiouracil', 'ticlopidine', 'methyldopa']",148
List medications that can lead to lung neoplasm malignant,class_based,lung neoplasm malignant,"['mycophenolate', 'deprenyl', 'copolymer', 'procarbazine', 'pramipexole', 'rifapentine', 'formoterol', 'sildenafil', 'doxazosin', 'topotecan', 'olodaterol', 'pergolide', 'pregabalin', 'roflumilast', 'vinorelbine', 'insulin', 'riluzole', 'mirabegron', 'acitretin', 'rabeprazole', 'valdecoxib', 'docetaxel', 'glat']",23
List medications that can lead to haemoglobin increased,class_based,haemoglobin increased,"['1,25(oh)2d3', 'clozapine', 'iopromide', 'tramadol', 'testosterone', 'axitinib', 'celecoxib', 'gemifloxacin', 'sitaxsentan', 'vandetanib', 'atropine', 'nandrolone']",12
Show me drugs known to cause urinary incontinence,class_based,urinary incontinence,"['mycophenolate', 'baclofen', 'anagrelide', 'bupropion', 'levodopa/carbidopa', 'gadobenate', 'itraconazole', 'betaine', 'fentanyl', 'aripiprazole', 'sibutramine', 'temozolomide', 'venlafaxine', 'bromocriptine', 'olanzapine', 'zyprexa', 'testosterone', 'ribavirin', 'donepezil', 'fluvoxamine', 'pergolide', 'rapamycin', 'travoprost', 'acamprosate', 'goserelin', 'reboxetine', 'pilocarpine', 'mepivacaine', 'clonazepam', 'felbamate', 'valdecoxib', 'nifedipine', 'guanfacine', 'naproxen', 'alprazolam', 'risperidone', 'rasagiline', 'duloxetine', 'nitrazepam', 'metrodin', 'memantine', 'cetirizine', 'neostigmine', 'dantrolene', 'granisetron', 'doxazosin', 'estazolam', 'rivastigmine', 'cabazitaxel', 'gadoteridol', 'pyridostigmine', 'remifentanil', 'prazosin', 'tamoxifen', 'estradiol', 'nilotinib', 'sufentanil', 'cytarabine', 'valproate', 'ciprofloxacin', 'ifosfamide', 'tranylcypromine', 'cevimeline', 'zolpidem', 'amphotericin', 'pregabalin', 'k779', 'clozapine', 'nefazodone', 'bexarotene', 'l-dmp', 'riluzole', 'gadopentetate', 'gabapentin', 'ziconotide', 'voriconazole', 'trovafloxacin', 'lithium', 'clomipramine', 'levetiracetam', 'ziprasidone', 'paliperidone', 'valrubicin', 'deprenyl', 'rufinamide', 'stalevo', 'tiagabine', 'paroxetine', 'pramipexole', 'buprenorphine', 'lasofoxifene', 'levonorgestrel', 'celecoxib', 'zonisamide', 'rifapentine', 'sildenafil', 'topiramate', 'fluconazole', 'tolcapone', 'tacrolimus', 'mannitol', 'citalopram', 'tramadol', 'lioh', 'meropenem', 'ropivacaine', 'bortezomib', 'capecitabine', 'naratriptan', 'megestrol', 'fosphenytoin', 'ofloxacin', 'amantadine', 'lidocaine', 'cidofovir', 'v', 'leuprorelin', 'lenalidomide', 'paclitaxel', 'gd-dtpa', 'propafenone', 'zopiclone', 'bicalutamide', 'ibuprofen', 'ropinirole', 'bromcresol', 'bcnu', 'copolymer', 'perindopril', 'terazosin', 'bupivacaine', 'entacapone', 'mirtazapine', 'forteo', 'fluoxetine', 'eprosartan', 'lutalyse', 'metoclopramide', 'galantamine', 'oxaliplatin', 'diazepam', 'iloperidone', 'quetiapine', 'trazodone', 'hydroxybutyrate', 'phenytoin', 'sertraline', 'lorazepam', 'carbidopa', 'mycophenolic', 'lamotrigine', 'carvedilol', 'zaleplon', 'rabeprazole', 'udca', 'nafarelin', 'atorvastatin']",157
Which drugs cause chorea?,class_based,chorea,"['deprenyl', 'stalevo', 'progesterone', 'pramipexole', 'levodopa/carbidopa', 'trihexyphenidyl', 'conjugated', 'mecamylamine', 'mephenytoin', 'madopar', 'estradiol', 'ogen', 'medroxyprogesterone', 'phenytoin', 'oestrogen', 'carbidopa', 'cyclizine', 'clonazepam', 'estrone', 'digoxin', 'paliperidone', 'risperidone']",22
What drugs are associated with infestation?,class_based,infestation,"['mycophenolate', 'afatinib', 'maraviroc', 'iron', 'gadobenate', 'itraconazole', 'aripiprazole', 'ribavirin', 'hydromorphone', 'medroxyprogesterone', 'oseltamivir', 'reboxetine', 'sulfasalazine', 'oxybutynin', 'telithromycin', 'teduglutide', 'pomalidomide', '4-ap', 'sofosbuvir', 'imipramine', 'metrodin', 'tadalafil', 'oxcarbazepine', 'rivastigmine', 'cabazitaxel', 'amoxicillin', 'parecoxib', 'risedronate', 'ciprofloxacin', 'clobetasone', 'balsalazide', 'alx', 'roflumilast', 'miconazole', 'voriconazole', 'agomelatine', 'rotigotine', 'histamine', 'rivaroxaban', 'eplerenone', 'fenofibrate', 'pramipexole', 'buprenorphine', 'a77', 'levonorgestrel', 'terbinafine', 'cosyntropin', '5-asa', 'fosaprepitant', 'tramadol', 'nuvaring', 'metronidazole', 'posaconazole', 'meloxicam', 'bendamustine', 'febuxostat', 'paclitaxel', 'varenicline', 'orlistat', 'alfuzosin', 'n-carbamylglutamate', 'deferoxamine', 'gadofosveset', 'ciclesonide', 'thalidomide', 'lyxumia', 'oxaliplatin', 'naltrexone', 'lansoprazole', 'bosutinib', 'anidulafungin', 'ceftaroline', 'oxycodone', 'telmisartan', 'nelarabine', 'retigabine', 'everolimus', 'perampanel', 'mycophenolic', 'pazopanib', 'colestimide', 'cephalexin', 'moxifloxacin', 'imiquimod', 'udca', 'carbamazepine', 'mdv3100', 'atorvastatin', 'demethyl', 'vigabatrin', 'ganciclovir', 'riociguat', 'cortisol', 'ibandronate', 'macitentan', 'ceftazidime', 'atomoxetine', 'delamanid', 'rapamycin', 'fluocinolone', 'triptorelin', 'pirfenidone', ""5-aza-2'-deoxycytidine"", 'tetrahydrobiopterin', 'lapatinib', 'cefuroxime', 'ponatinib', 'montelukast', 'betaxolol', 'sevelamer', 'alprazolam', 'darunavir', 'propranolol', 'brinzolamide', 'memantine', 'lurasidone', 'doripenem', 'olopatadine', 'ofatumumab', 'apraclonidine', 'tr-700', 'lorcaserin', 'estradiol', 'gemifloxacin', 'cytarabine', 'ifosfamide', 'ici', 'zolpidem', 'pregabalin', 'cgp', 'fe(iii', 'vinorelbine', 'mirabegron', 'emtricitabine', 'ziconotide', 'regorafenib', 'hydroxyurea', 'doxorubicin', 'dasatinib', 'glat', 'cabozantinib', 'hepatitis', 'lovaza', 'progesterone', 'enfuvirtide', 'lasofoxifene', 'conivaptan', 'sildenafil', 'topiramate', 'fluconazole', 'ezetimibe', 'abiraterone', 'tacrolimus', 'eribulin', 'tafamidis', 'sugammadex', 'azithromycin', 'capecitabine', 'novolog', 'ofloxacin', 'v', 'umeclidinium', 'propafenone', 'linaclotide', 'ropinirole', 'crizotinib', 'acth(1-39', 'busulfan', 'tipranavir', 'fk463', 'olodaterol', 'diclofenac', 'dabigatran', 'tenofovir', 'cladribine', 'tapentadol', 'prucalopride', 'sitagliptin', 'aclidinium', 'vardenafil', 'cefaclor', 'desloratadine', 'capsaicin', 'sativex', 'bosentan', 'revasc', 'prostacyclin', 'bupropion', 'ruxolitinib', 'temozolomide', 'nuvocid', 'budesonide', 'olanzapine', 'testosterone', 'donepezil', 'piperacillin', 'liraglutide', 'pioglitazone', 'imatinib', 'ivacaftor', 'photofrin', 'leflunomide', 'methylphenidate', 'pantoprazole', 'amsacrine', 'rasagiline', 'duloxetine', 'nitroglycerin', 'solifenacin', 'empagliflozin', 'tobramycin', 'glycopyrrolate', 'darifenacin', 'mthpc', 'arsenic', 'nilotinib', 'clindamycin', 'trimethoprim-sulfamethoxazole', 'fenofibric', 'paricalcitol', 'k779', 'vinflunine', 'pamidronate', 'boceprevir', 'riluzole', 'gabapentin', 'fluticasone/salmeterol', 'olmesartan', 'levetiracetam', 'ziprasidone', 'saxagliptin', 'rufinamide', 'implanon', 'dapagliflozin', 'valsartan', 'dexrazoxane', 'vildagliptin', 'trametinib', 'trandolapril', 'citalopram', 'mifepristone', 'tegaserod', 'desonide', 'oestrogen', 'ustekinumab', 'cancidas', 'tigecycline', 'sorafenib', 'vemurafenib', '5-aminolevulinic', 'trabectedin', 'efavirenz', 'desflurane', 'methotrexate', 'clarithromycin', 'clofarabine', 'quetiapine', 'fluticasone', 'trisequens', 'su5416', 'pimecrolimus', 'lomitapide', 'lamotrigine', 'suvorexant', 'pep005', 'telavancin', 'ly146032', 'maprotiline', 'methylprednisolone', 'pci-32765', 'mitotane', 'rifaximin', 'rifampicin', 'docetaxel', 'thiotepa', 'methyldopa', 'd-telaprevir', 'fentanyl', 'trospium', 'linagliptin', 'vandetanib', 'travoprost', 'olsalazine', 'clobetasol', 'etoposide', 'risperidone', 'erlotinib', 'pentoxifylline', 'icodextrin', 'ambrisentan', 'candesartan', 'ertapenem', 'retinoic', 'valganciclovir', 'etoricoxib', 'zoledronic', 'doxepin', 'clobazam', 'indacaterol', 'caffeine', 'metformin', 'fondaparinux', 'exenatide', 'fesoterodine', 'paliperidone', '5-azacytidine', 'celecoxib', 'tolcapone', 'eslicarbazepine', 'topotecan', 'vancocine', 'mannitol', 'ceftobiprole', 'meropenem', 'dalbavancin', 'saquinavir', 'sunitinib', 'pemetrexed', 'bortezomib', 'gefitinib', 'temsirolimus', 'avanafil', 'supremon', 'insulin', 'fluvastatin', 'lenalidomide', 'azathioprine', 'quinapril', 'raltegravir', 'promacta', 'pixantrone', 'copolymer', 'letrozole', 'bupivacaine', 'tamsulosin', 'salmon', '5-fu', 'omeprazole', 'melatonin', 'ixabepilone', 'hydroxybutyrate', 'rimonabant', 'aprepitant', 'fty720', 'deferiprone', 'esomeprazole', 'sitaxsentan', 'dabrafenib']",348
Which drugs cause bone disorder?,class_based,bone disorder,"['cysteamine', 'codeine', 'fentanyl', 'formoterol', 'sibutramine', 'budesonide', 'delavirdine', 'praziquantel', 'ribavirin', 'atomoxetine', 'piperacillin', 'fluvoxamine', 'rapamycin', 'medroxyprogesterone', 'iodixanol', 'almotriptan', 'imatinib', 'travoprost', 'dicloxacillin', 'oseltamivir', 'iopromide', 'nevirapine', 'ticagrelor', 'goserelin', 'methylphenidate', 'pilocarpine', 'pantoprazole', 'acitretin', 'montelukast', 'indapamide', 'lantus', 'sevoflurane', 'sevelamer', 'risperidone', 'naproxen', 'memantine', 'cetirizine', 'tobramycin', 'ritonavir', 'candesartan', 'tadalafil', 'oxcarbazepine', 'rivastigmine', 'mthpc', 'arsenic', 'desvenlafaxine', 'estradiol', 'zoledronic', 'risedronate', 'clopidogrel', 'ciprofloxacin', 'cevimeline', 'tofacitinib', 'pregabalin', 'k779', 'degarelix', 'dipyridamole', 'lamivudine', 'riluzole', 'voriconazole', 'bazedoxifene', 'doxorubicin', 'fenofibrate', 'hepatitis', 'rufinamide', 'paroxetine', 'enfuvirtide', 'lasofoxifene', 'celecoxib', 'rifaximin', 'trametinib', 'sildenafil', 'ezetimibe', '5-asa', 'tacrolimus', 'citalopram', 'tramadol', 'iohexol', 'bortezomib', 'oestrogen', 'gemcitabine', 'cancidas', 'leuprorelin', 'paclitaxel', 'sorafenib', 'propafenone', 'sonovue', 'bicalutamide', 'ropinirole', 'deferoxamine', 'letrozole', 'desflurane', 'perindopril', 'bupivacaine', 'thalidomide', 'mirtazapine', 'forteo', 'quinidine', 'fusidic', 'exemestane', 'tipranavir', 'fk463', 'methotrexate', 'lansoprazole', 'clofarabine', 'omeprazole', 'dabigatran', 'cladribine', 'mersyndol', 'telmisartan', 'ixabepilone', 'hydroxybutyrate', 'trisequens', 'mycophenolic', 'pimecrolimus', 'niacin', 'bosentan', 'moxifloxacin', 'ly146032', 'maprotiline', 'udca', 'dabrafenib', 'carbamazepine', 'docetaxel', 'cinacalcet']",125
Show me drugs known to cause neurological symptom,class_based,neurological symptom,"['efavirenz', 'dicyclomine', 'vacv', 'bupivacaine', 'busulfan', 'retinoic', 'miglustat', 'stavudine', 'bromocriptine', 'd-cycloserine', 'oxaliplatin', 'prilocaine', 'acyclovir', 'sodium', 'cytarabine', 'ropivacaine', 'ioxaglate', 'retigabine', 'metronidazole', 'amphotericin', 'atazanavir', 'pamidronate', 'mycophenolic', 'carboplatin', 'lidocaine', 'cisplatin', 'ioversol', 'paclitaxel', 'didanosine', 'hexamethylmelamine', 'lomustine', 'nifedipine', 'tolvaptan']",33
List medications that can lead to oedema mouth,class_based,oedema mouth,"['risperidone', 'cevimeline', 'ipratropium', 'gatifloxacin', 'posaconazole', 'parecoxib', 'gadobenate', 'dfmo', 'mirtazapine', 'frovatriptan', 'insulin', 'formoterol', 'melatonin', 'dasatinib']",14
