query,query_type,drug,severity_filter,ground_truth,num_results,organ_filter,comparison_type,drug1,drug2,risk_group,requires_clinical_context,temporal_filter,requires_temporal_data,mechanism,requires_mechanism_data,source_drug,requires_graph,hop_count,pathway_analysis,drugs,network_analysis,organ,cluster_analysis
List mild moderate adverse events of mycophenolic,severity_filtered,mycophenolic,mild_moderate,"['ventricular tachycardia', 'bradycardia', 'supraventricular tachycardia', 'tachycardia']",4.0,,,,,,,,,,,,,,,,,,
What mild side effects does mycophenolic cause?,severity_filtered,mycophenolic,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'vesiculobullous rash', 'constipation', 'rash', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",11.0,,,,,,,,,,,,,,,,,,
Show life threatening reactions to maprotiline,severity_filtered,maprotiline,life_threatening,"['toxic epidermal necrolysis', 'gynaecomastia', 'stevens-johnson syndrome']",3.0,,,,,,,,,,,,,,,,,,
Show severe reactions to maprotiline,severity_filtered,maprotiline,severe,['myocardial infarction'],1.0,,,,,,,,,,,,,,,,,,
Show moderate reactions to maprotiline,severity_filtered,maprotiline,moderate,"['dental caries', 'menopausal symptoms', 'libido disorder', 'depressive symptom', 'breast disorder', 'memory impairment', 'dermatitis', 'tingling sensation', 'loss of consciousness', 'weight increased', 'black hairy tongue', 'dyskinesia', 'jaundice', 'hypomania', 'hypoaesthesia', 'ataxia', 'hypertrophy of breast', 'salivary hypersecretion', 'torsade de pointes', 'hypertension', 'gastrointestinal disorder', 'endocrine disorder', 'dysgeusia', 'acute coronary syndrome', 'sweating increased', 'ear and labyrinth disorders', 'nervousness', 'electroencephalogram abnormal', 'liver function test abnormal', 'sleep disturbance', 'conduction disorder', 'vision blurred', 'gastrointestinal pain', 'vascular purpura', 'flushing', 'pancytopenia', 'adenitis', 'testicular swelling', 'erectile dysfunction', 'lymphadenitis', 'coordination abnormal', 'aggression', 'hepatobiliary disease', 'infestation nos', 'drowsiness', 'body temperature increased', 'confusional state', 'cardiac disorder', 'delusion', 'delirium', 'agitation', 'sleep disorder', 'thrombocytopenia', 'asthenia', 'depressed mood', 'myoclonus', 'palpitations', 'eosinophilia', 'dyspepsia', 'hepatitis', 'pollakiuria', 'dermatitis atopic', 'malnutrition', 'ileus paralytic', 'extrapyramidal symptoms', 'orthostatic hypotension', 'drug withdrawal syndrome', 'skin disorder', 'angiopathy', 'bronchospasm', 'blood and lymphatic system disorders', 'leukopenia', 'blood pressure increased', 'arrhythmia', 'bundle branch block', 'abdominal cramps', 'hypotension', 'urinary retention', 'infestation', 'psychotic disorder', 'dysarthria', 'infection', 'weight decreased', 'drug fever', 'dysphagia', 'hyperkinesia', 'unspecified disorder of skin and subcutaneous tissue', 'micturition disorder', 'anxiety', 'inappropriate antidiuretic hormone secretion', 'tinnitus', 'extrapyramidal disorder', 'somnolence', 'tremor', 'paraesthesia', 'numbness', 'interstitial lung disease', 'atrioventricular block', 'eye disorder', 'purpura', 'galactorrhoea', 'neuropathy peripheral', 'libido decreased', 'block heart', 'urinary tract disorder', 'petechiae', 'taste bitter', 'mydriasis', 'depersonalisation', 'tension', 'alopecia', 'nervous system disorder', 'electrocardiogram qrs complex', 'vomiting', 'increased appetite', 'urethral disorder', 'shock', 'cerebrovascular accident', 'mediastinal disorder', 'akathisia', 'breast enlargement', 'photosensitivity reaction', 'erythema multiforme', 'stomatitis', 'agranulocytosis', 'osteoarthritis', 'hyperhidrosis', 'oedema', 'nasal congestion', 'tongue discolouration', 'urticaria', 'bone marrow depression', 'disorientation', 'cutaneous vasculitis', 'derealisation', 'epigastric distress', 'qrs complex', 'bone disorder', 'feeling abnormal', 'hot flush', 'syncope', 'interstitial pneumonia', 'withdrawal symptom', 'muscular weakness', 'sensory loss', 'ventricular fibrillation', 'hallucination', 'disturbance in sexual arousal', 'alveolitis allergic', 'nightmare', 'convulsion', 'mania', 'abdominal disorder', 'diarrhoea', 'abdominal pain']",155.0,,,,,,,,,,,,,,,,,,
Find all mild moderate toxicities of maprotiline,severity_filtered,maprotiline,mild_moderate,"['ventricular tachycardia', 'sinus tachycardia', 'tachycardia']",3.0,,,,,,,,,,,,,,,,,,
List mild adverse events of maprotiline,severity_filtered,maprotiline,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",9.0,,,,,,,,,,,,,,,,,,
What life threatening side effects does terlipressin cause?,severity_filtered,terlipressin,life_threatening,['respiratory failure'],1.0,,,,,,,,,,,,,,,,,,
Find all severe toxicities of terlipressin,severity_filtered,terlipressin,severe,['myocardial infarction'],1.0,,,,,,,,,,,,,,,,,,
What moderate side effects does terlipressin cause?,severity_filtered,terlipressin,moderate,"['vomiting', 'abdominal cramps', 'injection site necrosis', 'menopausal symptoms', 'serum creatinine decreased', 'pregnancy', 'cardiac failure', 'cardiac disorder', 'pallor', 'skin necrosis', 'peripheral ischaemia', 'respiratory distress', 'unspecified disorder of skin and subcutaneous tissue', 'blood creatinine decreased', 'vasoconstriction', 'ventricular extrasystoles', 'cyanosis peripheral', 'pulmonary oedema', 'intestinal ischaemia', 'dyspnoea', 'torsade de pointes', 'hot flush', 'malnutrition', 'hypertension', 'gastrointestinal disorder', 'acute coronary syndrome', 'skin exfoliation', 'skin disorder', 'hyponatraemia', 'cyanosis', 'angiopathy', 'fluid overload', 'uterine hypertonus', 'ventricular fibrillation', 'mesenteric vascular insufficiency', 'chest pain', 'pallor facial', 'vasoconstriction peripheral', 'atrial fibrillation', 'diarrhoea', 'nervous system disorder', 'abdominal pain']",42.0,,,,,,,,,,,,,,,,,,
Show mild moderate reactions to terlipressin,severity_filtered,terlipressin,mild_moderate,"['bradycardia', 'tachycardia']",2.0,,,,,,,,,,,,,,,,,,
What mild side effects does terlipressin cause?,severity_filtered,terlipressin,mild,"['nausea', 'headache']",2.0,,,,,,,,,,,,,,,,,,
Find all life threatening toxicities of lmwh,severity_filtered,lmwh,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction']",2.0,,,,,,,,,,,,,,,,,,
Find all severe toxicities of lmwh,severity_filtered,lmwh,severe,"['myocardial infarction', 'paralysis']",2.0,,,,,,,,,,,,,,,,,,
Show moderate reactions to lmwh,severity_filtered,lmwh,moderate,"['hypersensitivity', 'nodule', 'hyperlipidaemia', 'shock', 'alanine aminotransferase increased', 'oedema peripheral', 'haemorrhagic anaemia', 'body temperature increased', 'cardiac failure', 'vasculitis', 'thrombosis', 'oedema', 'confusional state', 'liver disorder', 'injection site pain', 'urticaria', 'skin necrosis', 'epidural haemorrhage', 'diabetes mellitus', 'erythema', 'electrocardiogram st segment elevation', 'thrombocytopenia', 'cutaneous hypersensitivity', 'anaemia', 'spinal haematoma', 'cholestatic liver injury', 'pulmonary oedema', 'dermatitis bullous', 'eosinophilia', 'blood triglycerides increased', 'dyspnoea', 'purpura', 'dermatitis atopic', 'feeling abnormal', 'thrombocytosis', 'non-q wave mi', 'skin exfoliation', 'hypertriglyceridaemia', 'hyperkalaemia', 'local reaction', 'inflammation', 'aspartate aminotransferase increased', 'haemorrhage', 'haemoglobin', 'haematuria', 'hepatocellular injury', 'injection site haemorrhage', 'diabetic', 'major bleed', 'haemorrhage intracranial', 'osteoporosis', 'vascular purpura', 'ecchymosis', 'pain', 'sickness', 'alopecia', 'foetor hepaticus', 'atrial fibrillation', 'diarrhoea', 'malaise', 'pneumonia', 'haematoma']",62.0,,,,,,,,,,,,,,,,,,
Find all mild toxicities of lmwh,severity_filtered,lmwh,mild,"['pruritus', 'headache', 'vesiculobullous rash', 'rash pustular', 'nausea']",5.0,,,,,,,,,,,,,,,,,,
What life threatening side effects does meperidine cause?,severity_filtered,meperidine,life_threatening,"['anaphylactic shock', 'coma']",2.0,,,,,,,,,,,,,,,,,,
List severe adverse events of meperidine,severity_filtered,meperidine,severe,"['complex partial seizures', 'cardiac arrest', 'paralysis']",3.0,,,,,,,,,,,,,,,,,,
What moderate side effects does meperidine cause?,severity_filtered,meperidine,moderate,"['hypersensitivity', 'auditory and visual hallucinations', 'anuria', 'dermatitis', 'injection site pain', 'loss of consciousness', 'respiratory depression', 'dyskinesia', 'anorexia', 'hypomania', 'sweating', 'hypertension', 'cardiovascular insufficiency', 'paranoia', 'muscle twitching', 'circulatory depression', 'flushing', 'visual disturbance', 'affect lability', 'vasodilation procedure', 'vertigo', 'coordination abnormal', 'drowsiness', 'muscle spasms', 'confusional state', 'cold sweat', 'delirium', 'agitation', 'erythema', 'asthenia', 'myoclonus', 'palpitations', 'skin cold clammy', 'orthostatic hypotension', 'mood swings', 'irritability', 'fibrosis', 'depressed level of consciousness', 'gangrene', 'visual impairment', 'withdrawal syndrome', 'hypotension', 'urinary retention', 'dysphoria', 'psychotic disorder', 'cns depression nos', 'hyperkinesia', 'anxiety', 'somnolence', 'tremor', 'vasodilation', 'libido decreased', 'decreased appetite', 'muscle movement involuntary', 'respiratory arrest', 'mydriasis', 'welts', 'induration', 'phlebitis', 'vomiting', 'shock', 'euphoric mood', 'hyperhidrosis', 'oedema', 'pallor', 'urticaria', 'lightheadedness', 'pulmonary function test decreased', 'disorientation', 'hallucinations, mixed', 'miosis', 'feeling abnormal', 'syncope', 'neurotoxicity', 'hallucination', 'disturbance in sexual arousal', 'convulsion']",77.0,,,,,,,,,,,,,,,,,,
Find all mild moderate toxicities of meperidine,severity_filtered,meperidine,mild_moderate,"['bradycardia', 'tachycardia']",2.0,,,,,,,,,,,,,,,,,,
Find all mild toxicities of meperidine,severity_filtered,meperidine,mild,"['dizziness', 'pruritus', 'headache', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",8.0,,,,,,,,,,,,,,,,,,
Find all life threatening toxicities of entacapone,severity_filtered,entacapone,life_threatening,['toxic epidermal necrolysis'],1.0,,,,,,,,,,,,,,,,,,
Find all severe toxicities of entacapone,severity_filtered,entacapone,severe,"['rhabdomyolysis', 'myocardial infarction']",2.0,,,,,,,,,,,,,,,,,,
What moderate side effects does entacapone cause?,severity_filtered,entacapone,moderate,"['hypersensitivity', 'renal pain', 'menopausal symptoms', 'gastrointestinal symptom nos', 'inflicted injury', 'depression', 'intermittent claudication', 'hypokinesia', 'diplopia', 'dermatitis', 'musculoskeletal discomfort', 'carpal tunnel syndrome', 'loss of consciousness', 'dyskinesia', 'anorexia', 'fibroadenoma of breast', 'altered state of consciousness', 'hypoaesthesia', 'ataxia', 'salivary hypersecretion', 'dyspnoea', 'sweating', 'hypertension', 'gastrointestinal disorder', 'endocrine disorder', 'dysgeusia', 'acute coronary syndrome', 'muscle stiffness', 'hypotonia', 'extrasystoles', 'libido increased', 'paranoia', 'sweating increased', 'nervousness', 'oesophagitis', 'hepatocellular injury', 'disorder sight', 'paranoid reaction', 'cardiovascular disorder', 'ill-defined disorder', 'sleep disturbance', 'loose stools', 'gastrointestinal pain', 'vascular purpura', 'disturbance in attention', 'nocturia', 'mental disorder', 'cataract', 'erectile dysfunction', 'vertigo', 'thinking abnormal', 'hepatobiliary disease', 'body temperature increased', 'muscle spasms', 'confusional state', 'muscle relaxant therapy', 'cardiac disorder', 'delusion', 'liver disorder', 'tooth disorder', 'cold sweat', 'prolonged menses', 'agitation', 'musculoskeletal stiffness', 'ageusia', 'sleep disorder', 'thrombocytopenia', 'asthenia', 'feeling of body temperature change', 'hyperthyroidism', 'fibroadenosis of breast', 'dyspepsia', 'hepatitis', 'consciousness abnormal', 'cholecystitis', 'mental disability', 'abnormal dreams', 'sinusitis', 'hyperglycaemia', 'malnutrition', 'skin cold clammy', 'orthostatic hypotension', 'skin disorder', 'chromaturia', 'haemoglobin', 'haematuria', 'leukopenia', 'cerebration impaired', 'angina pectoris', 'leg pain', 'pain', 'foetor hepaticus', 'myalgia', 'bundle branch block', 'visual impairment', 'faeces discoloured', 'hypotension', 'movements involuntary', 'pathological gambling', 'weight decreased', 'dysphagia', 'eczema', 'hyperkinesia', 'colitis', 'unspecified disorder of skin and subcutaneous tissue', 'anxiety', 'photopsia', 'salivation', 'somnolence', 'hypoglycaemia', 'tremor', 'hepatic function abnormal', 'eye disorder', 'flatulence', 'purpura', 'pain in extremity', 'hyperbilirubinaemia', 'arthritis', 'cardiac valve disease', 'gamma-glutamyltransferase increased', 'diverticulitis', 'neuropathy peripheral', 'decreased appetite', 'haemorrhage', 'hypersexuality', 'epistaxis', 'stiffness', 'urinary tract disorder', 'urine color abnormal', 'chest pain', 'menorrhagia', 'excessive daytime sleepiness', 'herpes simplex', 'binge eating', 'tension', 'parkinsonism aggravated', 'albuminuria', 'fluid retention', 'nervous system disorder', 'pneumonia', 'blood alkaline phosphatase increased', 'vomiting', 'hepatic failure', 'myocardial ischaemia', 'urethral disorder', 'shock', 'piloerection', 'congenital eye disorder', 'cholangitis', 'erythema multiforme', 'hyperhidrosis', 'impulse-control disorder', 'tendonitis', 'phosphatase alkaline increased', 'dysuria', 'cramps of lower extremities', 'urticaria', 'hepatic enzyme increased', 'gastritis', 'pharyngitis', 'hypercholesterolaemia', 'conjunctivitis', 'parkinsonism', 'neuroleptic malignant syndrome', 'injury', 'bacterial infection', 'coagulopathy', 'urinary incontinence', 'feeling abnormal', 'change of bowel habit', 'discomfort', 'hot flush', 'syncope', 'sexual dysfunction', 'cholelithiasis', 'inflammation', 'muscle contractions involuntary', 'fungal skin infection', 'back pain', 'muscular weakness', 'gastroenteritis', 'hallucination', 'disturbance in sexual arousal', 'nightmare', 'malaise', 'convulsion', 'generalised oedema', 'atrial fibrillation', 'diarrhoea', 'bursitis', 'abdominal pain']",191.0,,,,,,,,,,,,,,,,,,
Show mild moderate reactions to entacapone,severity_filtered,entacapone,mild_moderate,['bradycardia'],1.0,,,,,,,,,,,,,,,,,,
List mild adverse events of entacapone,severity_filtered,entacapone,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'rash maculo-papular', 'nausea', 'dry mouth', 'insomnia']",10.0,,,,,,,,,,,,,,,,,,
Show life threatening reactions to propoxyphene,severity_filtered,propoxyphene,life_threatening,['coma'],1.0,,,,,,,,,,,,,,,,,,
Show severe reactions to propoxyphene,severity_filtered,propoxyphene,severe,"['cardiac arrest', 'myocardial infarction']",2.0,,,,,,,,,,,,,,,,,,
List moderate severe adverse events of propoxyphene,severity_filtered,propoxyphene,moderate_severe,['pancreatitis acute'],1.0,,,,,,,,,,,,,,,,,,
Show moderate reactions to propoxyphene,severity_filtered,propoxyphene,moderate,"['hypersensitivity', 'vomiting', 'hypotension', 'drug interaction', 'shock', 'dysphoria', 'psychotic disorder', 'mediastinal disorder', 'hepatobiliary disease', 'euphoric mood', 'immune system disorder', 'drowsiness', 'gastrointestinal haemorrhage', 'confusional state', 'dermatitis', 'cardiac disorder', 'lightheadedness', 'agitation', 'loss of consciousness', 'pulmonary function test decreased', 'hepatic steatosis', 'asthenia', 'respiratory depression', 'somnolence', 'jaundice', 'drug ineffective', 'digestion impaired', 'eye swelling', 'abnormal behaviour', 'hepatic function abnormal', 'excitement', 'dyspepsia', 'ataxia', 'eye disorder', 'cardio-respiratory arrest', 'dyspnoea', 'feeling abnormal', 'discomfort', 'malnutrition', 'acute coronary syndrome', 'gastrointestinal disorder', 'syncope', 'drug withdrawal syndrome', 'myopathy', 'hepatocellular injury', 'respiratory arrest', 'metabolic acidosis', 'hepatomegaly', 'hip fracture', 'drug tolerance', 'hallucination', 'jaundice cholestatic', 'liver injury', 'gastrointestinal pain', 'liver function test abnormal', 'vision blurred', 'convulsion', 'visual disturbance', 'completed suicide', 'diarrhoea', 'cardiac failure congestive', 'nervous system disorder', 'abdominal pain', 'arrhythmia', 'visual impairment']",65.0,,,,,,,,,,,,,,,,,,
Find all mild moderate toxicities of propoxyphene,severity_filtered,propoxyphene,mild_moderate,"['bradycardia', 'tachycardia']",2.0,,,,,,,,,,,,,,,,,,
What mild side effects does propoxyphene cause?,severity_filtered,propoxyphene,mild,"['dizziness', 'headache', 'constipation', 'rash', 'nausea', 'insomnia']",6.0,,,,,,,,,,,,,,,,,,
Show life threatening reactions to anastrozole,severity_filtered,anastrozole,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction', 'stevens-johnson syndrome']",3.0,,,,,,,,,,,,,,,,,,
Show severe reactions to anastrozole,severity_filtered,anastrozole,severe,['myocardial infarction'],1.0,,,,,,,,,,,,,,,,,,
List moderate severe adverse events of anastrozole,severity_filtered,anastrozole,moderate_severe,['hepatotoxicity'],1.0,,,,,,,,,,,,,,,,,,
What moderate side effects does anastrozole cause?,severity_filtered,anastrozole,moderate,"['hypersensitivity', 'cerebral infarction', 'menopausal symptoms', 'oestrogenic effect', 'oedema peripheral', 'depression', 'cyst', 'dermatitis', 'musculoskeletal discomfort', 'carpal tunnel syndrome', 'pulmonary embolism', 'swelling', 'embolism', 'weight increased', 'anorexia', 'jaundice', 'angioedema', 'dyspnoea', 'sweating', 'influenza like illness', 'cataract specified', 'hypertension', 'gastrointestinal disorder', 'acute coronary syndrome', 'dysgeusia', 'hepatitis toxic', 'vulvovaginal dryness', 'vaginal haemorrhage', 'sweating increased', 'aspartate aminotransferase increased', 'nervousness', 'neuropathy', 'low density lipoprotein increased', 'cardiovascular disorder', 'ill-defined disorder', 'liver function test abnormal', 'gastrointestinal pain', 'leukorrhea', 'embolism venous', 'bone pain', 'endometrial cancer', 'cataract', 'vasodilation procedure', 'henoch-schonlein purpura', 'hepatobiliary disease', 'body temperature increased', 'lethargy', 'thrombosis', 'confusional state', 'ageusia', 'musculoskeletal stiffness', 'erythema', 'asthenia', 'digestion impaired', 'musculoskeletal disorder', 'arthralgia', 'dyspepsia', 'hepatitis', 'trigger finger', 'mood alteration nos', 'blister', 'sinusitis', 'mood swings', 'menopause', 'haemoglobin', 'rhinitis', 'hip fracture', 'leukopenia', 'angina pectoris', 'pain', 'myalgia', 'lymphoedema', 'joint stiffness', 'hepatic pain', 'thromboembolism', 'thrombophlebitis', 'thromboembolic event', 'infection', 'weight decreased', 'cough', 'dysphagia', 'influenza', 'neck pain', 'urinary tract infection', 'anxiety', 'somnolence', 'breast pain', 'breast neoplasm', 'paraesthesia', 'ulcer', 'cerebral ischaemia', 'arthropathy', 'arthritis', 'gamma-glutamyltransferase increased', 'high density lipoprotein decreased', 'vasodilation', 'neuropathy peripheral', 'decreased appetite', 'haemorrhage', 'vaginal dryness', 'stiffness', 'chest pain', 'fracture', 'vaginal discharge', 'osteoporosis', 'emotional distress', 'tension', 'alopecia', 'hypertonia', 'neoplasm malignant', 'cough increased', 'blood alkaline phosphatase increased', 'vomiting', 'vulvovaginitis', 'myocardial ischaemia', 'increased appetite', 'alanine aminotransferase increased', 'cerebrovascular accident', 'cholesterol serum elevated', 'erythema multiforme', 'pelvic pain', 'osteoarthritis', 'hyperhidrosis', 'oedema', 'neoplasm', 'phosphatase alkaline increased', 'urticaria', 'retinal vein thrombosis', 'lipid metabolism disorder', 'coronary artery disease', 'anaemia', 'pharyngitis', 'hypercholesterolaemia', 'cutaneous vasculitis', 'blood cholesterol increased', 'vaginal infection', 'dermatitis bullous', 'injury', 'vaginal inflammation', 'feeling abnormal', 'influenza-like symptoms', 'hepatitis acute', 'discomfort', 'hot flush', 'accidental injury', 'osteoporotic fracture', 'hypercalcaemia', 'inflammation', 'tumour flare', 'raised liver function tests', 'back pain', 'breast tenderness', 'bronchitis', 'malaise', 'diarrhoea', 'abdominal pain', 'multiple fractures', 'high cholesterol']",158.0,,,,,,,,,,,,,,,,,,
What mild side effects does anastrozole cause?,severity_filtered,anastrozole,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",9.0,,,,,,,,,,,,,,,,,,
Show life threatening reactions to etodolac,severity_filtered,etodolac,life_threatening,"['anaphylactic shock', 'stevens-johnson syndrome', 'anaphylactoid reaction', 'toxic epidermal necrolysis', 'coma']",5.0,,,,,,,,,,,,,,,,,,
Show severe reactions to etodolac,severity_filtered,etodolac,severe,['myocardial infarction'],1.0,,,,,,,,,,,,,,,,,,
Show moderate severe reactions to etodolac,severity_filtered,etodolac,moderate_severe,['pancreatitis'],1.0,,,,,,,,,,,,,,,,,,
Show moderate reactions to etodolac,severity_filtered,etodolac,moderate,"['hypersensitivity', 'neutropenia', 'abdominal pain upper', 'hearing impaired', 'vasculitis', 'eructation', 'gastrointestinal haemorrhage', 'gastric ulcer', 'dermatitis', 'meningitis', 'melaena', 'musculoskeletal discomfort', 'loss of consciousness', 'respiratory depression', 'anorexia', 'jaundice', 'blood urea increased', 'angioedema', 'chills', 'dyspnoea', 'sweating', 'hypertension', 'acute coronary syndrome', 'skin exfoliation', 'dysgeusia', 'uterine haemorrhage', 'photosensitivity', 'oliguria', 'nervousness', 'nephritis interstitial', 'oesophagitis', 'dermatitis exfoliative', 'urine output increased', 'jaundice cholestatic', 'ill-defined disorder', 'vision blurred', 'gastrointestinal pain', 'vascular purpura', 'flushing', 'nephrolithiasis', 'visual disturbance', 'leukorrhea', 'pancytopenia', 'gastrointestinal discomfort', 'vertigo', 'glossitis', 'body temperature increased', 'tubulointerstitial nephritis', 'leukocytoclastic vasculitis', 'calculus of kidney', 'confusional state', 'ageusia', 'thrombocytopenia', 'haemolytic anaemia', 'lymphadenopathy', 'asthenia', 'aplastic anaemia', 'palpitations', 'mouth ulceration', 'arthralgia', 'eosinophilia', 'dyspepsia', 'hepatitis', 'pollakiuria', 'skin hyperpigmentation', 'sinusitis', 'haematemesis', 'hyperglycaemia', 'irritability', 'haemoglobin', 'haematuria', 'bronchospasm', 'rhinitis', 'cystitis', 'leukopenia', 'pain', 'myalgia', 'arrhythmia', 'visual impairment', 'bleeding time prolonged', 'intestinal ulcer', 'hypotension', 'sepsis', 'renal impairment', 'ulcerative stomatitis', 'infection', 'bladder pain', 'photophobia', 'colitis', 'duodenitis', 'hepatitis fulminant', 'anxiety', 'tinnitus', 'somnolence', 'stomach ache', 'tremor', 'paraesthesia', 'peptic ulcer', 'ulcer', 'flatulence', 'purpura', 'polyuria', 'abdominal distension', 'kidney function abnormal', 'decreased appetite', 'haemorrhage', 'upper abdominal discomfort', 'abdominal discomfort', 'hepatitis cholestatic', 'lung infiltration', 'epigastric pain', 'vaginal discharge', 'ecchymosis', 'heartburn', 'tension', 'alopecia', 'protein urine present', 'pneumonia', 'vomiting', 'hepatic failure', 'shock', 'renal papillary necrosis', 'cerebrovascular accident', 'cystitis noninfective', 'abnormal faeces', 'photosensitivity reaction', 'erythema multiforme', 'epidermal necrosis', 'stomatitis', 'agranulocytosis', 'hyperhidrosis', 'oedema', 'dysuria', 'urticaria', 'deafness', 'pulmonary function test decreased', 'asthma', 'gastritis', 'hepatic enzyme increased', 'anaemia', 'thirst', 'pharyngitis', 'cutaneous vasculitis', 'rectal haemorrhage', 'oesophageal achalasia', 'dermatitis bullous', 'conjunctivitis', 'hepatic necrosis', 'feeling abnormal', 'discomfort', 'burning sensation', 'syncope', 'hallucination', 'bronchitis', 'malaise', 'convulsion', 'diarrhoea', 'cardiac failure congestive', 'renal failure', 'abdominal pain']",160.0,,,,,,,,,,,,,,,,,,
List mild moderate adverse events of etodolac,severity_filtered,etodolac,mild_moderate,"['proteinuria', 'tachycardia']",2.0,,,,,,,,,,,,,,,,,,
List mild adverse events of etodolac,severity_filtered,etodolac,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'vesiculobullous rash', 'constipation', 'rash', 'rash maculo-papular', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",12.0,,,,,,,,,,,,,,,,,,
Show severe reactions to pilocarpine,severity_filtered,pilocarpine,severe,['myocardial infarction'],1.0,,,,,,,,,,,,,,,,,,
Find all moderate severe toxicities of pilocarpine,severity_filtered,pilocarpine,moderate_severe,['pancreatitis'],1.0,,,,,,,,,,,,,,,,,,
List moderate adverse events of pilocarpine,severity_filtered,pilocarpine,moderate,"['hypersensitivity', 'retinal detachment', 'oedema peripheral', 'seborrhoeic dermatitis', 'dry eye', 'keratitis', 'eructation', 'cyst', 'presyncope', 'dermatitis', 'melaena', 'musculoskeletal discomfort', 'loss of consciousness', 'metrorrhagia', 'anorexia', 'macular hole', 'micturition urgency', 'stinging', 'amblyopia', 'hypoaesthesia', 'pulmonary oedema', 'chills', 'visual acuity reduced', 'salivary gland enlargement', 'salivary hypersecretion', 'dyspnoea', 'sweating', 'urethral pain', 'hypertension', 'gastrointestinal disorder', 'acute coronary syndrome', 'dysgeusia', 'platelet disorder', 'vaginal haemorrhage', 'nervousness', 'bronchoconstriction', 'oesophagitis', 'dermatitis exfoliative', 'wbc abnormal nos', 'muscle twitching', 'liver function test abnormal', 'vision blurred', 'gastrointestinal pain', 'retinal disorder', 'neck stiffness', 'flushing', 'body odor', 'nuchal rigidity', 'overactivity', 'blepharospasm', 'affect lability', 'cataract', 'face oedema', 'abnormal vision', 'thinking abnormal', 'aphasia', 'glossitis', 'body temperature increased', 'thrombosis', 'muscle spasms', 'confusional state', 'skin odour abnormal', 'delusion', 'lenticular opacities', 'tooth disorder', 'laryngospasm', 'ageusia', 'agitation', 'musculoskeletal stiffness', 'thrombocytopenia', 'lymphadenopathy', 'asthenia', 'speech disorder', 'palpitations', 'tendon disorder', 'ciliary muscle spasm', 'arthralgia', 'parotid gland enlargement', 'dyspepsia', 'hepatitis', 'pollakiuria', 'abnormal dreams', 'mental disability', 'thrombocytosis', 'sinusitis', 'mood swings', 'ovarian disorder', 'stridor', 'ear disorder', 'pyuria', 'candida infection', 'haematuria', 'bronchospasm', 'rhinitis', 'leukopenia', 'vulvovaginal candidiasis', 'developmental delay', 'angina pectoris', 'eye haemorrhage', 'pain', 'myalgia', 'mastitis', 'arrhythmia', 'visual impairment', 'hiccups', 'hypotension', 'skin ulcer', 'myasthenia', 'tongue disorder', 'infection', 'cough', 'dysphagia', 'eczema', 'hyperkinesia', 'colitis', 'influenza', 'congenital anomaly', 'neck pain', 'urinary tract infection', 'anxiety', 'tinnitus', 'salivation', 'body temperature decreased', 'lacrimal structural disorder', 'somnolence', 'breast pain', 'hypoglycaemia', 'tremor', 'lacrimation increased', 'paraesthesia', 'gingivitis', 'atrioventricular block', 'ear pain', 'eye disorder', 'flatulence', 'increased bronchial secretion', 'hyperbilirubinaemia', 'arthritis', 'decreased appetite', 'epistaxis', 'lacrimation', 'chest pain', 'menorrhagia', 'tenosynovitis', 'herpes simplex', 'tension', 'alopecia', 'eye pain', 'pneumonia', 'haemorrhage intracranial', 'laryngitis', 'cough increased', 'vomiting', 'increased appetite', 'shock', 'vaginal moniliasis', 'abnormal platelets', 'photosensitivity reaction', 'hypothermia', 'syncope vasovagal', 'stomatitis', 'dry skin', 'hyperhidrosis', 'oedema', 'erythema nodosum', 'dysuria', 'cramps of lower extremities', 'deafness', 'viral infection', 'gastritis', 'pharyngitis', 'white blood cell disorder', 'vaginal infection', 'dermatitis bullous', 'conjunctivitis', 'sputum increased', 'migraine', 'injury', 'bone disorder', 'urinary incontinence', 'vaginal inflammation', 'feeling abnormal', 'vulvovaginal mycotic infection', 'yawning', 'discomfort', 'syncope', 'accidental injury', 'cholelithiasis', 'muscular weakness', 'back pain', 'gastroenteritis', 'lacrimal disorder', 'bronchitis', 'eye irritation', 'hallucination, visual', 'dermatitis contact', 'salpingitis', 'diarrhoea', 'abdominal pain']",199.0,,,,,,,,,,,,,,,,,,
List mild moderate adverse events of pilocarpine,severity_filtered,pilocarpine,mild_moderate,"['bradycardia', 'tachycardia']",2.0,,,,,,,,,,,,,,,,,,
What mild side effects does pilocarpine cause?,severity_filtered,pilocarpine,mild,"['dizziness', 'pruritus', 'headache', 'vesiculobullous rash', 'constipation', 'rash', 'rash pustular', 'nausea', 'insomnia']",9.0,,,,,,,,,,,,,,,,,,
